,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,preferito,cluster_labels
2,3lyHyxVE8JHvNz75wBmExR,Master_Of_Puppets_-_Remastered,Master_Of_Puppets_(Deluxe_Box_Set_/_Remastered),1986-03-03,Metallica,[],"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",52,4,105,0.84,0.54,0.56,-9.11,0.0,0.431,0.15,0,0.035,4,0.56,0.0,0.0,0.0,1.0,0.0,0.0,1,29
4,2G6N99ANS6NGn9BusRUmCx,Spot_Holes_2,Spider-Man:_Across_the_Spider-Verse_(Original_Score),2023-06-02,Daniel_Pemberton,[],"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",69,0,120,0.44,0.22,0.06,-12.89,0.56,0.961,0.09,1,0.042,3,0.0557,0.0,0.0,0.0,0.0,0.0,0.0,1,28
7,1xK59OXxi2TAAAbmZK0kBL,Romantic_Homicide,Romantic_Homicide,2022-07-20,d4vd,[],"['bedroom pop', 'bedroom r&b']",92,6,132,0.54,0.57,0.22,-10.61,0.45,0.008,0.32,1,0.03,4,0.216,0.0,0.0,0.0,0.0,0.0,0.0,1,27
8,7zBQRGpYImAdIZc97FNj3V,"Shell_Shocked_(feat._Kill_the_Noise_&_Madsonik)_-_From_""Teenage_Mutant_Ninja_Turtles""","Shell_Shocked_(feat._Kill_the_Noise_&_Madsonik)_[From_""Teenage_Mutant_Ninja_Turtles""]",2014-07-22,Juicy_J,"['Wiz_Khalifa', 'Ty_Dolla_$ign', 'Kill_The_Noise', 'Madsonik']","['crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",67,6,165,0.81,0.6,0.46,-5.67,0.01,0.0,0.17,0,0.075,4,0.459,0.0,0.0,0.0,1.0,0.0,0.0,1,2
10,0V5cvmTKsYmF5FmGGEAfmS,Je_te_laisserai_des_mots,Je_te_laisserai_des_mots,2010-09-10,Patrick_Watson,[],"['indie folk', 'indie quebecois']",86,2,133,0.19,0.3,0.21,-16.76,0.99,0.489,0.1,1,0.036,4,0.213,0.0,0.0,0.0,0.0,0.0,0.0,1,27
14,5j3QqRGflS4o5jbsFSwKW1,Six_Days_-_Remix,The_Fast_And_The_Furious:_Tokyo_Drift_(Original_Motion_Picture_Soundtrack),2006-06-20,DJ_Shadow,['Mos_Def'],"['downtempo', 'electronica', 'instrumental hip hop', 'trip hop']",74,5,172,0.94,0.64,0.72,-6.25,0.04,0.0,0.33,0,0.264,4,0.718,0.0,0.0,0.0,0.0,0.0,0.0,1,12
18,1fewSx2d5KIZ04wsooEBOz,Space_Cadet_(feat._Gunna),NOT_ALL_HEROES_WEAR_CAPES_(Deluxe),2018-11-06,Metro_Boomin,['Gunna'],"['hip hop', 'rap']",84,5,109,0.46,0.9,0.64,-9.79,0.37,0.0,0.24,0,0.065,4,0.638,0.0,0.0,0.0,1.0,0.0,0.0,1,21
25,0U2m1KimKHxTAJwjYb7kaY,LUNEDI__-_Unplugged,Salmo_Unplugged,2023-05-29,Salmo,[],"['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap sardegna']",56,3,120,0.56,0.52,0.21,-11.1,0.6,0.0,0.41,1,0.149,4,0.211,1.0,0.0,0.0,1.0,1.0,0.0,1,28
27,10bt2wAkFgCWRCEOyAyWT9,How_Could_You_Leave_Us,Therapy_Session,2016-04-22,NF,[],"['hip hop', 'pop rap']",68,6,78,0.71,0.54,0.09,-7.88,0.51,0.0,0.1,1,0.758,4,0.09,1.0,0.0,0.0,1.0,1.0,0.0,1,7
28,4g1Ant3Me43Cm5Lx91bV8e,"Angel_Pt._1_(feat._Jimin_of_BTS,_JVKE_&_Muni_Long)","Angel_Pt._1_(feat._Jimin_of_BTS,_JVKE_&_Muni_Long_/_FAST_X_Soundtrack)",2023-05-18,Kodak_Black,"['NLE_Choppa', 'Jimin', 'JVKE', 'Muni_Long', 'Fast_&_Furious:_The_Fast_Saga']","['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",85,10,74,0.67,0.53,0.24,-4.27,0.11,0.0,0.1,0,0.275,4,0.239,0.0,0.0,0.0,1.0,0.0,0.0,1,7
