id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto
5CsDo9j3N4yFZNCN1h9loS,Never_Enough,Encore_(Deluxe_Version),2004-11-12,Eminem,"['50_Cent', 'Nate_Dogg']","['detroit hip hop', 'hip hop', 'rap']",72,11,96,0.72,0.78,0.59,-5.33,0.29,0.0,0.67,1,0.347,4,0.593,1.0,0.0,0.0,1.0,1.0,0.0
1K9qAxGT4cWUicf2OezSen,VETRI_NERI,VETRI_NERI,2023-05-19,AVA,"['ANNA', 'Capo_Plaza']","['italian hip hop', 'trap italiana']",84,6,134,0.77,0.75,0.53,-4.98,0.08,0.0,0.11,1,0.059,4,0.529,0.0,0.0,0.0,1.0,0.0,0.0
3lyHyxVE8JHvNz75wBmExR,Master_Of_Puppets_-_Remastered,Master_Of_Puppets_(Deluxe_Box_Set_/_Remastered),1986-03-03,Metallica,[],"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",52,4,105,0.84,0.54,0.56,-9.11,0.0,0.431,0.15,0,0.035,4,0.56,0.0,0.0,0.0,1.0,0.0,0.0
3zkyus0njMCL6phZmNNEeN,LET_GO,LET_GO,2022-12-15,Central_Cee,[],['melodic drill'],86,2,146,0.45,0.73,0.51,-9.93,0.86,0.0,0.21,0,0.383,4,0.514,0.0,0.0,0.0,0.0,0.0,0.0
2G6N99ANS6NGn9BusRUmCx,Spot_Holes_2,Spider-Man:_Across_the_Spider-Verse_(Original_Score),2023-06-02,Daniel_Pemberton,[],"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",69,0,120,0.44,0.22,0.06,-12.89,0.56,0.961,0.09,1,0.042,3,0.0557,0.0,0.0,0.0,0.0,0.0,0.0
5rurggqwwudn9clMdcchxT,"Calling_(Spider-Man:_Across_the_Spider-Verse)_(Metro_Boomin_&_Swae_Lee,_NAV,_feat._A_Boogie_Wit_da_Hoodie)",METRO_BOOMIN_PRESENTS_SPIDER-MAN:_ACROSS_THE_SPIDER-VERSE_(SOUNDTRACK_FROM_AND_INSPIRED_BY_THE_MOTION_PICTURE),2023-06-02,Metro_Boomin,"['Swae_Lee', 'NAV', 'A_Boogie_Wit_da_Hoodie']","['hip hop', 'rap']",94,0,140,0.54,0.63,0.22,-7.84,0.46,0.0,0.12,1,0.084,4,0.22,0.0,0.0,0.0,1.0,0.0,0.0
1nCyFoKnjpNQNXqVHT9O5v,DirtyMoney_-_SLOWED,Memphis_Cult_Greatest_Hits_Speed_UP_Vol._1,2023-03-10,Memphis_Cult,['NEXNCLXUD'],['memphis phonk'],33,1,127,0.43,0.82,0.05,-14.17,0.07,0.904,0.1,1,0.052,4,0.0505,0.0,0.0,0.0,0.0,0.0,0.0
1xK59OXxi2TAAAbmZK0kBL,Romantic_Homicide,Romantic_Homicide,2022-07-20,d4vd,[],"['bedroom pop', 'bedroom r&b']",92,6,132,0.54,0.57,0.22,-10.61,0.45,0.008,0.32,1,0.03,4,0.216,0.0,0.0,0.0,0.0,0.0,0.0
7zBQRGpYImAdIZc97FNj3V,"Shell_Shocked_(feat._Kill_the_Noise_&_Madsonik)_-_From_""Teenage_Mutant_Ninja_Turtles""","Shell_Shocked_(feat._Kill_the_Noise_&_Madsonik)_[From_""Teenage_Mutant_Ninja_Turtles""]",2014-07-22,Juicy_J,"['Wiz_Khalifa', 'Ty_Dolla_$ign', 'Kill_The_Noise', 'Madsonik']","['crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",67,6,165,0.81,0.6,0.46,-5.67,0.01,0.0,0.17,0,0.075,4,0.459,0.0,0.0,0.0,1.0,0.0,0.0
0Ymjv0OJeIIPXr6s9wi3iW,MATHEMATICAL_DISRESPECT,MATHEMATICAL_DISRESPECT,2023-05-05,Lil_Mabu,[],['meme'],89,1,147,0.51,0.8,0.48,-8.06,0.06,0.0,0.27,1,0.303,4,0.48,0.0,0.0,0.0,0.0,0.0,0.0
