track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature
3YfGTvsTAWGC2lgoDOikUz,2023-08-04T06:53:22Z,One in a Million,65L5VcKGKe6sOJIPNFc0Q1,64M6ah0SkkRsnPGtGiRAbb,['1Cs0zKBU1kc0i8ypK3B9ai'],160529,False,68,11,137.945,0.931,0.454,0.462,-4.083,0.238,0.000623,0.289,1,0.0321,4
2IGMVunIBsBLtEQyoI1Mu7,2023-08-04T06:53:22Z,Paint The Town Red,54dZypaXHAIDzBe9ujAZ63,5cj0lLjcoR7YOSnhnX0Po5,[],231750,True,75,5,99.968,0.538,0.868,0.732,-8.603,0.269,3.34e-06,0.0901,1,0.174,4
4kD3OqYqX2kJCUTEscRBxO,2023-08-04T06:53:22Z,Joy,1F9LY06gadScF4g3g3BrDC,246dkjvS1zLTtiykXe5h60,[],287428,False,64,7,111.97,0.563,0.574,0.0934,-8.183,0.0235,0.0214,0.23,1,0.0338,4
7uiXg5Ec2teUAxhIEiD00N,2023-08-04T06:53:22Z,GO GO GO,0AD4xVslP0qraEZQKQ5O3S,1CoZyIx7UvdxT5c8UkMzHd,[],145893,False,59,2,160.045,0.708,0.644,0.854,-5.481,0.0475,2.75e-06,0.099,0,0.0503,4
1t8fZilEEUPk6DCHVAQQTZ,2023-08-04T06:53:22Z,Napoletano RMX (feat. SLF),7BgKnIEiobf2VaITPMojh5,3LvwPiJQJ0da0GurKMToV0,['49SLNYRfTi1p9R38NooZKS'],176829,True,38,11,94.052,0.802,0.753,0.645,-5.708,0.0879,0.0,0.103,0,0.267,4
5FdsGTvKTPReuUVWLYDgIG,2023-08-04T06:53:22Z,fatto da sooooolo,5S2RzVtE5dwhqZHK9UH767,7tmTvmqgTBcX88ZrSHByrD,['5K92J8NwWAlu6fRN2uoHVN'],178124,False,46,2,128.061,0.692,0.717,0.164,-3.741,0.268,0.0,0.117,1,0.102,4
5Y2n6pW4Vqr4Mzkd9V4Uk8,2023-08-04T06:53:22Z,Ray Of Solar,3qoGM4yHcw91XeCA6bC7Pb,1h6Cn3P4NGzXbaXidqURXs,[],241793,False,63,6,135.017,0.802,0.355,0.0391,-5.114,0.0367,1.06e-05,0.197,0,0.0478,4
5TdnT5EfvkF6K3jHDe7toT,2023-08-04T06:53:22Z,Atlantis (Robin Schulz Presents KOPPY),0RNI2RAuIHHNMDF4AuqkKz,3t5xRXzsuZmMDkQzgOX35S,['5SfqIMwBJ7wD419vvb33mO'],182068,False,51,5,144.966,0.842,0.448,0.281,-5.4,0.0193,0.0,0.135,1,0.0855,4
0p4aS6c0Yva2WYrKNQQCnK,2023-08-04T06:53:22Z,The Greatest,4ZrTFJ486SKULQTaWAGfLm,2NjfBq1NflQcKSeiDooVjY,[],316833,False,52,9,79.941,0.735,0.375,0.189,-5.141,0.122,7.23e-06,0.235,0,0.0483,4
5BPy4CFuroB7vFbZ6M9vES,2023-08-04T06:53:22Z,Blindside,1RvvpYObiXki55iPrP8EVQ,4IWBUUAFIplrNtaOHcJPRM,[],211835,False,59,2,167.891,0.897,0.485,0.415,-3.355,0.0137,0.0,0.287,1,0.0594,4
