,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,prediction
39,4Js31maTathTS2flQOQr2c,Fragole,Fragole,2023-05-12,Achille_Lauro,['Rose_Villain'],"['italian adult pop', 'italian hip hop', 'italian pop']",74,7,89,0.66,0.69,0.69,-4.05,0.09,0.0,0.21,1,0.05,4,0.69,0.0,0.0,0.0,1.0,0.0,0.0,1
44,1xUnvxp9DFrpwXnO0RHKUp,Cookies_N__Cream_(feat._ANNA_&_Sfera_Ebbasta),Madreperla,2023-01-13,Guè,"['ANNA', 'Sfera_Ebbasta']","['italian hip hop', 'italian pop']",77,9,124,0.66,0.57,0.58,-5.38,0.37,0.0,0.32,1,0.244,5,0.581,0.0,0.0,0.0,1.0,0.0,0.0,1
88,1xUnvxp9DFrpwXnO0RHKUp,Cookies_N__Cream_(feat._ANNA_&_Sfera_Ebbasta),Madreperla,2023-01-13,Guè,"['ANNA', 'Sfera_Ebbasta']","['italian hip hop', 'italian pop']",77,9,124,0.66,0.57,0.58,-5.38,0.37,0.0,0.32,1,0.244,5,0.581,0.0,0.0,0.0,1.0,0.0,0.0,1
120,0zbO6cDFBa0JJblfyiTxgc,Curaçao,Curaçao,2023-06-23,Epoque,[],[],39,1,92,0.7,0.73,0.51,-5.49,0.0,0.0,0.09,1,0.052,4,0.513,0.0,0.0,0.0,0.0,0.0,0.0,1
137,6reL5LwIwHkDXcKff9ZbKV,Shy_Boy,Shy_Boy,2023-06-23,Carly_Rae_Jepsen,[],"['canadian pop', 'dance pop', 'pop']",62,8,103,0.86,0.7,0.91,-4.67,0.03,0.0,0.05,1,0.092,4,0.908,0.0,0.0,0.0,1.0,0.0,0.0,1
158,34xBhUgjCTUxe1BuypLL0X,Now_Or_Never,Now_Or_Never,2023-06-23,Martin_Solveig,['Faouzia'],"['disco house', 'edm', 'electro house', 'filter house', 'house', 'pop dance', 'vocal house']",56,5,124,0.84,0.68,0.39,-5.11,0.02,0.0,0.31,1,0.062,4,0.39,0.0,0.0,0.0,0.0,0.0,0.0,1
168,7zcmoCMq7ZlLL6GXnqfAJO,Hype,Hype,2023-06-23,I_Sentinelle,[],[],26,7,126,0.78,0.82,0.7,-4.94,0.08,0.0,0.09,0,0.353,4,0.703,0.0,0.0,0.0,0.0,0.0,0.0,1
210,4USnWN7PzU3LT04l2qwXpo,Grim_Generation,Chris_Black_Changed_My_Life,2023-06-23,Portugal._The_Man,[],"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",59,7,124,0.84,0.64,0.47,-3.68,0.01,0.366,0.75,1,0.049,4,0.467,0.0,0.0,0.0,0.0,0.0,0.0,1
218,6reL5LwIwHkDXcKff9ZbKV,Shy_Boy,Shy_Boy,2023-06-23,Carly_Rae_Jepsen,[],"['canadian pop', 'dance pop', 'pop']",62,8,103,0.86,0.7,0.91,-4.67,0.03,0.0,0.05,1,0.092,4,0.908,0.0,0.0,0.0,1.0,0.0,0.0,1
237,4ylj6KTRlC25nhizGTlFPA,the_alternative,to_love_in_the_21st_century,2023-06-23,Lyn_Lapid,[],['gen z singer-songwriter'],55,0,117,0.28,0.51,0.2,-9.34,0.42,0.005,0.1,0,0.055,3,0.203,0.0,0.0,0.0,0.0,0.0,0.0,1
244,7qAXZbesT1QwNJa5YYUjR5,On_Three,Queen_Of_Me_(Royal_Edition_Extended_Version),2023-06-23,Shania_Twain,[],"['canadian country', 'canadian pop', 'contemporary country', 'country', 'country dawn']",55,10,95,0.71,0.61,0.69,-6.03,0.03,0.0,0.12,1,0.1,4,0.695,0.0,0.0,0.0,0.0,0.0,0.0,1
247,6vQCNDNbA0DQoSPftbzS1W,Time_After_Time_-_Spotify_Singles,Time_After_Time_(Spotify_Singles),2023-06-22,Lennon_Stella,[],"['alt z', 'canadian pop', 'uk pop']",54,0,128,0.4,0.65,0.42,-9.45,0.51,0.001,0.08,1,0.029,4,0.417,0.0,0.0,0.0,0.0,0.0,0.0,1
254,7z9TlbrDkEkwKAyScdDamy,Natural,Lost_In_Translation,2023-06-23,Valley,[],"['indietronica', 'singer-songwriter pop']",56,9,94,0.72,0.63,0.81,-5.24,0.05,0.0,0.12,0,0.041,4,0.811,0.0,0.0,0.0,0.0,0.0,0.0,1
275,4WAwwhUc54CHYksDvVP8Zt,PETTY_(feat._TiaCorine),BAD_SON,2023-06-23,Curtis_Waters,['TiaCorine'],[],44,6,140,0.43,0.79,0.49,-11.15,0.21,0.0,0.16,0,0.071,4,0.486,0.0,0.0,0.0,0.0,0.0,0.0,1
281,4xALaz8yKhRocRemoNXxAp,Ugly_Sweater,Ugly_Sweater,2023-06-23,Sada_Baby,[],"['detroit trap', 'scam rap']",41,6,93,0.6,0.67,0.47,-8.03,0.0,0.0,0.2,1,0.316,4,0.474,0.0,0.0,0.0,0.0,0.0,0.0,1
286,4M5SqWR8LIgE9N3QzEJlyS,Can_I_Shower_At_Yours,Can_I_Shower_At_Yours,2023-06-22,Amy_Shark,[],['australian pop'],52,4,128,0.7,0.85,0.95,-1.86,0.14,0.0,0.08,1,0.062,4,0.955,0.0,0.0,0.0,0.0,0.0,0.0,1
