,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,prediction
11,7Da5kjy5GByLHE5OPQ4tpg,IL_MALE_CHE_MI_FAI_(feat._Marracash),IL_CORAGGIO_DEI_BAMBINI_-_ATTO_II,2023-04-07,Geolier,['Marracash'],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",82,6,109,0.8,0.73,0.51,-7.16,0.14,0.0,0.1,0,0.122,4,0.51,0.0,0.0,0.0,1.0,0.0,0.0,1
15,5vHWd8yLGCxb8s9RaThO9w,Non_litighiamo_più,Non_litighiamo_più,2023-03-31,Rocco_Hunt,[],"['italian adult pop', 'italian hip hop', 'italian pop', 'pop virale italiano', 'rap napoletano']",79,6,135,0.84,0.66,0.72,-4.33,0.04,0.0,0.15,1,0.145,4,0.723,0.0,0.0,0.0,1.0,0.0,0.0,1
30,3X6QTmtaKukOu5lISJYi4g,ORIGAMI_ALL_ALBA_-_CLARA,ORIGAMI_ALL_ALBA,2023-02-24,Matteo_Paolillo_-_Icaro,"['Lolloflow', 'CLARA']",[],78,8,144,0.75,0.63,0.43,-6.48,0.58,0.0,0.14,0,0.064,4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,1
44,1xUnvxp9DFrpwXnO0RHKUp,Cookies_N__Cream_(feat._ANNA_&_Sfera_Ebbasta),Madreperla,2023-01-13,Guè,"['ANNA', 'Sfera_Ebbasta']","['italian hip hop', 'italian pop']",77,9,124,0.66,0.57,0.58,-5.38,0.37,0.0,0.32,1,0.244,5,0.581,0.0,0.0,0.0,1.0,0.0,0.0,1
60,5vHWd8yLGCxb8s9RaThO9w,Non_litighiamo_più,Non_litighiamo_più,2023-03-31,Rocco_Hunt,[],"['italian adult pop', 'italian hip hop', 'italian pop', 'pop virale italiano', 'rap napoletano']",79,6,135,0.84,0.66,0.72,-4.33,0.04,0.0,0.15,1,0.145,4,0.723,0.0,0.0,0.0,1.0,0.0,0.0,1
72,7Da5kjy5GByLHE5OPQ4tpg,IL_MALE_CHE_MI_FAI_(feat._Marracash),IL_CORAGGIO_DEI_BAMBINI_-_ATTO_II,2023-04-07,Geolier,['Marracash'],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",82,6,109,0.8,0.73,0.51,-7.16,0.14,0.0,0.1,0,0.122,4,0.51,0.0,0.0,0.0,1.0,0.0,0.0,1
81,3X6QTmtaKukOu5lISJYi4g,ORIGAMI_ALL_ALBA_-_CLARA,ORIGAMI_ALL_ALBA,2023-02-24,Matteo_Paolillo_-_Icaro,"['Lolloflow', 'CLARA']",[],78,8,144,0.75,0.63,0.43,-6.48,0.58,0.0,0.14,0,0.064,4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,1
84,41ZKcEXI1OSUDpY2zzP45D,BOSS,BOSS,2023-03-24,Tony_Effe,[],"['italian hip hop', 'trap italiana']",76,1,90,0.52,0.84,0.24,-7.46,0.01,0.0,0.12,1,0.198,4,0.24,0.0,0.0,0.0,1.0,0.0,0.0,1
86,4nrPB8O7Y7wsOCJdgXkthe,"Shakira:_Bzrp_Music_Sessions,_Vol._53","Shakira:_Bzrp_Music_Sessions,_Vol._53",2023-01-11,Bizarrap,['Shakira'],"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",93,2,122,0.63,0.78,0.5,-5.6,0.27,0.0,0.09,0,0.049,4,0.498,0.0,0.0,0.0,0.0,0.0,0.0,1
88,1xUnvxp9DFrpwXnO0RHKUp,Cookies_N__Cream_(feat._ANNA_&_Sfera_Ebbasta),Madreperla,2023-01-13,Guè,"['ANNA', 'Sfera_Ebbasta']","['italian hip hop', 'italian pop']",77,9,124,0.66,0.57,0.58,-5.38,0.37,0.0,0.32,1,0.244,5,0.581,0.0,0.0,0.0,1.0,0.0,0.0,1
