,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,prediction
0,3VtGh8xE9qRsFyY2Uj1WG3,Hoe_(feat._Sfera_Ebbasta),La_Divina_Commedia,2023-06-02,Tedua,['Sfera_Ebbasta'],"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",85,2,114,0.76,0.94,0.41,-6.62,0.1,0.0,0.16,1,0.117,4,0.406,0.0,0.0,0.0,1.0,0.0,0.0,1
3,6gs7AIeuNkpktUbwZcES2Y,Un_milione_di_volte_(feat._Sfera_Ebbasta),Santana_Season,2023-06-09,Shiva,['Sfera_Ebbasta'],"['italian hip hop', 'italian pop', 'trap italiana']",81,7,140,0.65,0.73,0.31,-5.87,0.25,0.0,0.12,0,0.057,4,0.306,0.0,0.0,0.0,1.0,0.0,0.0,1
5,2hHC2jw8qiE4IAPDGjU4Fu,"Gelosa_(feat._Shiva,_Sfera_Ebbasta,_Guè)","Gelosa_(feat._Shiva,_Sfera_Ebbasta,_Guè)",2023-02-24,Finesse,"['Shiva', 'Sfera_Ebbasta', 'Guè']",[],83,7,150,0.67,0.73,0.48,-5.5,0.04,0.0,0.1,1,0.07,4,0.479,0.0,0.0,0.0,0.0,0.0,0.0,1
6,3mMjLv3IyxlEKmXg3JxCI5,Rubami_la_Notte,Fake_News,2022-12-02,Pinguini_Tattici_Nucleari,[],"['bergamo indie', 'italian indie pop', 'italian pop', 'milan indie']",68,7,77,0.88,0.55,0.64,-5.19,0.07,0.0,0.61,1,0.038,4,0.642,0.0,0.0,0.0,1.0,0.0,0.0,1
7,5x9LonDyHxGUO2VzfHJHLE,COME_VUOI,IL_CORAGGIO_DEI_BAMBINI,2023-01-06,Geolier,[],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",81,8,130,0.63,0.76,0.9,-5.3,0.13,0.0,0.06,0,0.05,4,0.896,0.0,0.0,0.0,1.0,0.0,0.0,1
11,7Da5kjy5GByLHE5OPQ4tpg,IL_MALE_CHE_MI_FAI_(feat._Marracash),IL_CORAGGIO_DEI_BAMBINI_-_ATTO_II,2023-04-07,Geolier,['Marracash'],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",82,6,109,0.8,0.73,0.51,-7.16,0.14,0.0,0.1,0,0.122,4,0.51,0.0,0.0,0.0,1.0,0.0,0.0,1
16,4e1U6KRJGed8gh3uRbAv3P,"MIRAGE_(feat._Ozuna,_GIMS_&_Sfera_Ebbasta)","MIRAGE_(feat._Ozuna,_Sfera_Ebbasta_&_GIMS)",2023-04-14,AriBeatz,"['Ozuna', 'GIMS', 'Sfera_Ebbasta']",[],84,7,172,0.6,0.7,0.42,-7.17,0.03,0.0,0.07,1,0.325,4,0.421,0.0,0.0,0.0,0.0,0.0,0.0,1
19,3myPe2jZvDbPoNXY7v2TU0,Malamente,La_Divina_Commedia,2023-06-02,Tedua,[],"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",80,6,81,0.65,0.46,0.23,-8.37,0.23,0.0,0.09,1,0.097,3,0.234,0.0,0.0,0.0,1.0,0.0,0.0,1
29,0gEw8izgROscS30OVqPb1e,Pazza_Musica,MATERIA_(PRISMA),2023-05-26,Marco_Mengoni,['Elodie'],"['italian adult pop', 'italian pop']",74,8,105,0.61,0.8,0.44,-6.0,0.1,0.0,0.24,0,0.083,4,0.442,0.0,0.0,0.0,1.0,0.0,0.0,1
30,3X6QTmtaKukOu5lISJYi4g,ORIGAMI_ALL_ALBA_-_CLARA,ORIGAMI_ALL_ALBA,2023-02-24,Matteo_Paolillo_-_Icaro,"['Lolloflow', 'CLARA']",[],78,8,144,0.75,0.63,0.43,-6.48,0.58,0.0,0.14,0,0.064,4,0.43,0.0,0.0,0.0,0.0,0.0,0.0,1
37,1la73rdzbQGNRFJyO9E71c,Arai_(feat._Capo_Plaza),Nove_Chiamate,2023-01-13,Medy,['Capo_Plaza'],"['italian hip hop', 'trap italiana']",77,4,128,0.73,0.82,0.68,-4.81,0.07,0.0,0.13,0,0.101,4,0.675,0.0,0.0,0.0,1.0,0.0,0.0,1
42,3GlYaaFuFxEJWYiN0Vc41f,Whip_Whip,Whip_Whip,2023-05-18,Rhove,[],"['italian hip hop', 'trap italiana']",75,10,100,0.76,0.72,0.76,-7.76,0.27,0.0,0.19,1,0.411,4,0.764,0.0,0.0,0.0,1.0,0.0,0.0,1
43,01Lhwz9MYE6hu58oLQjOxh,Un_Altro_Mondo_(con_Tananai_&_Marracash),Un_Altro_Mondo_(con_Tananai_&_Marracash),2023-06-21,Merk_&_Kremont,"['Tananai', 'Marracash']","['dutch house', 'electro house', 'progressive electro house', 'sky room']",66,8,136,0.91,0.58,0.33,-3.45,0.19,0.0,0.09,1,0.088,4,0.326,0.0,0.0,0.0,0.0,0.0,0.0,1
45,4eI0ncpnZuv4A3ssTJRSDY,Due_Vite,MATERIA_(PELLE),2022-12-25,Marco_Mengoni,[],"['italian adult pop', 'italian pop']",72,2,117,0.54,0.64,0.13,-6.16,0.4,0.0,0.09,1,0.031,4,0.133,0.0,0.0,0.0,1.0,0.0,0.0,1
46,609E1JCInJncactoMmkDon,BESO,RR,2023-03-24,ROSALÍA,['Rauw_Alejandro'],"['pop', 'r&b en espanol']",96,5,95,0.64,0.77,0.53,-6.67,0.74,0.001,0.17,0,0.136,4,0.53,0.0,0.0,0.0,1.0,0.0,0.0,1
47,74cyFjvgjyiFiQ3QxszFWq,TANGO,"RAVE,_ECLISSI",2022-11-24,Tananai,[],['italian pop'],72,6,127,0.67,0.33,0.32,-5.95,0.23,0.0,0.16,1,0.061,4,0.323,0.0,0.0,0.0,1.0,0.0,0.0,1
