,id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto,prediction
11,7Da5kjy5GByLHE5OPQ4tpg,IL_MALE_CHE_MI_FAI_(feat._Marracash),IL_CORAGGIO_DEI_BAMBINI_-_ATTO_II,2023-04-07,Geolier,['Marracash'],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",82,6,109,0.8,0.73,0.51,-7.16,0.14,0.0,0.1,0,0.122,4,0.51,0.0,0.0,0.0,1.0,0.0,0.0,1
39,4Js31maTathTS2flQOQr2c,Fragole,Fragole,2023-05-12,Achille_Lauro,['Rose_Villain'],"['italian adult pop', 'italian hip hop', 'italian pop']",74,7,89,0.66,0.69,0.69,-4.05,0.09,0.0,0.21,1,0.05,4,0.69,0.0,0.0,0.0,1.0,0.0,0.0,1
44,1xUnvxp9DFrpwXnO0RHKUp,Cookies_N__Cream_(feat._ANNA_&_Sfera_Ebbasta),Madreperla,2023-01-13,Guè,"['ANNA', 'Sfera_Ebbasta']","['italian hip hop', 'italian pop']",77,9,124,0.66,0.57,0.58,-5.38,0.37,0.0,0.32,1,0.244,5,0.581,0.0,0.0,0.0,1.0,0.0,0.0,1
72,7Da5kjy5GByLHE5OPQ4tpg,IL_MALE_CHE_MI_FAI_(feat._Marracash),IL_CORAGGIO_DEI_BAMBINI_-_ATTO_II,2023-04-07,Geolier,['Marracash'],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",82,6,109,0.8,0.73,0.51,-7.16,0.14,0.0,0.1,0,0.122,4,0.51,0.0,0.0,0.0,1.0,0.0,0.0,1
78,0uXDSAM6q44glALKnQQyqW,Fantasmi_(feat._Geolier),Radio_Gotham,2023-01-20,Rose_Villain,['Geolier'],"['italian hip hop', 'italian pop', 'milan indie']",75,0,98,0.77,0.76,0.46,-5.39,0.51,0.0,0.17,1,0.116,4,0.457,0.0,0.0,0.0,1.0,0.0,0.0,1
88,1xUnvxp9DFrpwXnO0RHKUp,Cookies_N__Cream_(feat._ANNA_&_Sfera_Ebbasta),Madreperla,2023-01-13,Guè,"['ANNA', 'Sfera_Ebbasta']","['italian hip hop', 'italian pop']",77,9,124,0.66,0.57,0.58,-5.38,0.37,0.0,0.32,1,0.244,5,0.581,0.0,0.0,0.0,1.0,0.0,0.0,1
120,0zbO6cDFBa0JJblfyiTxgc,Curaçao,Curaçao,2023-06-23,Epoque,[],[],39,1,92,0.7,0.73,0.51,-5.49,0.0,0.0,0.09,1,0.052,4,0.513,0.0,0.0,0.0,0.0,0.0,0.0,1
137,6reL5LwIwHkDXcKff9ZbKV,Shy_Boy,Shy_Boy,2023-06-23,Carly_Rae_Jepsen,[],"['canadian pop', 'dance pop', 'pop']",62,8,103,0.86,0.7,0.91,-4.67,0.03,0.0,0.05,1,0.092,4,0.908,0.0,0.0,0.0,1.0,0.0,0.0,1
139,5nlJwV1jDu4hhQdY3YsG8W,17_anni_(PANICO),17_anni_(PANICO),2023-06-23,LINDA,[],[],33,2,105,0.71,0.59,0.49,-6.91,0.0,0.0,0.18,1,0.067,4,0.488,0.0,0.0,0.0,0.0,0.0,0.0,1
141,5MIhOIJeFG5dLF9JrbL3KG,A_carte_scoperte,A_carte_scoperte,2023-06-23,Hanami,['kOkeshi'],[],31,1,136,0.46,0.71,0.61,-8.66,0.79,0.0,0.14,1,0.089,4,0.61,0.0,0.0,0.0,0.0,0.0,0.0,1
168,7zcmoCMq7ZlLL6GXnqfAJO,Hype,Hype,2023-06-23,I_Sentinelle,[],[],26,7,126,0.78,0.82,0.7,-4.94,0.08,0.0,0.09,0,0.353,4,0.703,0.0,0.0,0.0,0.0,0.0,0.0,1
218,6reL5LwIwHkDXcKff9ZbKV,Shy_Boy,Shy_Boy,2023-06-23,Carly_Rae_Jepsen,[],"['canadian pop', 'dance pop', 'pop']",62,8,103,0.86,0.7,0.91,-4.67,0.03,0.0,0.05,1,0.092,4,0.908,0.0,0.0,0.0,1.0,0.0,0.0,1
235,42LSQpK6JdGjqRttkxIoy1,Gonna_Be_Good,Gonna_Be_Good,2023-06-21,Madeon,[],"['complextro', 'edm', 'electro house', 'electropop', 'filter house', 'nantes indie', 'pop dance']",60,2,78,0.61,0.49,0.15,-7.19,0.23,0.045,0.13,1,0.033,4,0.147,0.0,0.0,0.0,0.0,0.0,0.0,1
237,4ylj6KTRlC25nhizGTlFPA,the_alternative,to_love_in_the_21st_century,2023-06-23,Lyn_Lapid,[],['gen z singer-songwriter'],55,0,117,0.28,0.51,0.2,-9.34,0.42,0.005,0.1,0,0.055,3,0.203,0.0,0.0,0.0,0.0,0.0,0.0,1
247,6vQCNDNbA0DQoSPftbzS1W,Time_After_Time_-_Spotify_Singles,Time_After_Time_(Spotify_Singles),2023-06-22,Lennon_Stella,[],"['alt z', 'canadian pop', 'uk pop']",54,0,128,0.4,0.65,0.42,-9.45,0.51,0.001,0.08,1,0.029,4,0.417,0.0,0.0,0.0,0.0,0.0,0.0,1
259,0ohtsxNylBu2zu6hlopn1X,die_young,die_young,2023-06-20,venbee,['Rudimental'],[],63,11,178,0.74,0.36,0.23,-4.26,0.05,0.0,0.15,1,0.099,4,0.227,0.0,0.0,0.0,0.0,0.0,0.0,1
260,4pmiEqiZKvQIJP7zquAzHg,Kill_Your_Pain_(with_King_Princess),Kill_Your_Pain_(with_King_Princess),2023-06-21,Boyish,['King_Princess'],['indie pop'],53,1,146,0.64,0.49,0.34,-6.19,0.01,0.0,0.09,1,0.074,4,0.341,0.0,0.0,0.0,0.0,0.0,0.0,1
261,24PrTycumc8Itm3ksXF0jP,Reborn,When_Everything_Went_Dark,2023-06-23,Bishop_Briggs,[],['modern alternative rock'],52,1,127,0.88,0.81,0.51,-2.9,0.06,0.0,0.04,1,0.041,4,0.514,0.0,0.0,0.0,0.0,0.0,0.0,1
275,4WAwwhUc54CHYksDvVP8Zt,PETTY_(feat._TiaCorine),BAD_SON,2023-06-23,Curtis_Waters,['TiaCorine'],[],44,6,140,0.43,0.79,0.49,-11.15,0.21,0.0,0.16,0,0.071,4,0.486,0.0,0.0,0.0,0.0,0.0,0.0,1
281,4xALaz8yKhRocRemoNXxAp,Ugly_Sweater,Ugly_Sweater,2023-06-23,Sada_Baby,[],"['detroit trap', 'scam rap']",41,6,93,0.6,0.67,0.47,-8.03,0.0,0.0,0.2,1,0.316,4,0.474,0.0,0.0,0.0,0.0,0.0,0.0,1
