artist_id,artist_name,artist_followers,artist_genres,artist_popularity
5japL3H3OQvvJfhtsNh3eU,Teya Dora,35550,[],61
7LbEDjJKrmWoMcN3OpaNnR,Daniel Pemberton,82553,"['british soundtrack', 'orchestral soundtrack', 'soundtrack']",66
4X8gYCkPmSxnIteMWbSFi1,8inch meyus,577,[],32
6JFaTYyfO9VRWnlC3ypYJh,YOUNGX777,11775,[],55
7tmMPdOmFvdRvbj2aWoiRi,Jovanotti,2498993,"['italian adult pop', 'italian pop']",60
0qts5zYDAeK8dBmrdF2Zwq,Drillionaire,38575,['italian hip hop'],69
62C5P1caRIK12ndTkzNJjA,Noemi,576737,"['italian adult pop', 'italian pop']",54
0jdNdfi4vAuVi7a6cPDFBM,Lazza,1664070,"['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",75
1AgAVqo74e2q4FVvg0xpT7,Tedua,1502740,"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",74
40LhqyLxAdaQBBXZ1P8Ga9,Treyarch,55212,['video game music'],36
6qFEVczpjXakMuKcI5BBdc,Malukah,99394,['scorecore'],46
0ttsFiIQxBWmfS1JPgTZ6o,Jack Wall,37974,['video game music'],47
6HYyeW4R4oZbUvkjG7t3qH,Owsey,25383,['chillstep'],43
3hBQ4zniNdQf1cqqo6hzuW,Salmo,2390569,"['italian hip hop', 'italian pop', 'italian underground hip hop', 'rap sardegna']",67
5SulO4l40qDuV9zUGLZx7n,Capo Plaza,3596713,"['italian hip hop', 'italian pop', 'trap italiana']",71
7dGJo4pcD2V6oG8kP0tJRR,Eminem,74697576,"['detroit hip hop', 'hip hop', 'rap']",88
3q7HBObVc0L8jNeTe5Gofh,50 Cent,11988639,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",81
1Oa0bMld0A3u5OTYfMzp5h,Nate Dogg,1468544,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'west coast rap']",74
7zPS3i8YJBNeDcqXUHfCMr,AVA,55570,"['italian hip hop', 'trap italiana']",65
7K80yOTC0Id95gRaOxDG5u,ANNA,222083,"['italian hip hop', 'italian pop']",69
2ye2Wgw4gimLv2eAKyk1NB,Metallica,25530191,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",80
5H4yInM5zmHqpKIoMNAx4r,Central Cee,3660521,['melodic drill'],82
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,5248915,"['hip hop', 'rap']",88
1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,1773634,"['melodic rap', 'rap', 'trap']",81
7rkW85dBwwrJtlHRDkJDAC,NAV,3354748,"['canadian hip hop', 'canadian trap', 'melodic rap', 'rap', 'trap']",75
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,7605591,"['melodic rap', 'rap', 'trap']",80
6n9sdNb7mWvVmARDT6ujnJ,Memphis Cult,43038,['memphis phonk'],54
1dQwH3oZGmOTF94MzOwZY8,NEXNCLXUD,348,['memphis phonk'],36
5y8tKLUfMvliMe8IKamR32,d4vd,1509885,"['bedroom pop', 'bedroom r&b']",77
5gCRApTajqwbnHHPbr2Fpi,Juicy J,3109879,"['crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",72
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,11150889,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",79
7c0XG5cIJTrrAgEC3ULPiq,Ty Dolla $ign,4696639,"['hip hop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'trap soul']",78
3qnMl4DHT4gndzFAcG4FlM,Kill The Noise,420282,"['brostep', 'edm', 'electro house', 'fidget house']",53
23rBupd4zSysh9lAzsSFb0,Madsonik,3841,[],45
6FAo7ORAHEzSSf5q10LLfN,Lil Mabu,608151,['meme'],69
7bPs6jf983f0bjRAt1yxDM,Patrick Watson,598000,"['indie folk', 'indie quebecois']",68
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION,42524801,"['emo rap', 'miami hip hop']",84
5CE2IfdYZEQGIDsfiRm8SI,DJ Shadow,571518,"['downtempo', 'electronica', 'instrumental hip hop', 'trip hop']",61
0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,1384506,"['conscious hip hop', 'east coast hip hop', 'hip hop']",62
1t20wYnTiAT0Bs7H1hv9Wt,EDEN,970743,['indie poptimism'],58
1xsYReh7zhty26wD4tprKh,Chris Nolan,15681,['italian hip hop'],55
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,5646271,"['atl hip hop', 'melodic rap', 'rap', 'trap']",84
0gLF7r8Rf7Ecs6ilnUJPzx,Dwayne Terore,25,[],3
56gKAiKyXpud1eozj9TQkY,Kachiro,3,[],3
6fOMl44jA4Sp5b9PpYCkzz,NF,8782623,"['hip hop', 'pop rap']",79
46SHBwWsqBkxI7EeeBEQG7,Kodak Black,9565164,"['florida drill', 'florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap', 'trap latino']",80
0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,6525569,"['memphis hip hop', 'rap']",79
