track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature
3wld38PU9xGmtSbO5elWSt,2023-08-07T06:24:18Z,"FASHION (feat. ANNA, Lazza, Tony Effe & Benny Benassi)",0wseGI0Yw53Ys8W7QGX36a,0qts5zYDAeK8dBmrdF2Zwq,"['7K80yOTC0Id95gRaOxDG5u', '0jdNdfi4vAuVi7a6cPDFBM', '6CKch2otN4SPznHf9ms5JF', '4Ws2otunReOa6BbwxxpCt6']",182407,True,73,10,138.03,0.637,0.693,0.489,-8.504,0.0786,0.00333,0.23,1,0.0419,4
6ZcH96yz0Ly7iMYVvOnyA3,2023-08-07T06:13:27Z,TOUGH PSYCHO 2,7CAbF3kTGCSQSTX50ImXaT,2GBDI5PSiEnVoH0YnFFRLx,[],126569,True,59,8,122.156,0.924,0.603,0.0662,2.018,0.145,0.0,0.291,1,0.513,5
2fF8V1O1i1Y8s06FmJHJlz,2023-07-28T07:27:44Z,Džanum,66OKdF2UFS4TC5FToHWL5Y,5japL3H3OQvvJfhtsNh3eU,[],174045,False,83,6,130.26,0.232,0.326,0.186,-10.566,0.876,1.09e-05,0.114,0,0.0302,4
52NljNc8iekEE6Gq7RZ43E,2023-07-22T15:54:18Z,Across the Spider-Verse (Start a Band),6nlUFeFAPjaDTA7A0VVwnO,7LbEDjJKrmWoMcN3OpaNnR,[],233493,False,68,2,134.953,0.542,0.239,0.099,-10.651,0.00567,0.9,0.0752,1,0.0446,4
5WZ6m4AxUcljn63ykOk5wv,2023-07-17T10:53:25Z,"They think you are a monster, prove them right",0HSQaKxWwZCSU4PnUW1RnY,4X8gYCkPmSxnIteMWbSFi1,[],125000,False,45,9,119.988,0.878,0.734,0.496,-5.499,0.0235,0.0006,0.514,0,0.164,3
1VDMwC7FdXCbeVCpeKUYjg,2023-07-17T09:02:37Z,TOXIC,1d6zYSMdMycQgpdwNUsORs,6JFaTYyfO9VRWnlC3ypYJh,[],84000,True,70,1,144.021,0.953,0.46,0.274,-6.982,0.018,0.0215,0.193,1,0.315,3
4BenDOqr4Feas8CiWtRyzf,2023-07-13T18:07:24Z,Le Tasche Piene Di Sassi,7u8aAYprJucEFRmH2l6tJJ,7tmMPdOmFvdRvbj2aWoiRi,[],213226,False,45,0,128.638,0.484,0.464,0.527,-7.54,0.684,0.0,0.176,1,0.038,3
1mblCC44D31Yu2o3DhrvbJ,2023-07-13T17:52:28Z,"PAROLE (Sono solo parole) (feat. Noemi, Lazza & Tedua)",0wseGI0Yw53Ys8W7QGX36a,0qts5zYDAeK8dBmrdF2Zwq,"['62C5P1caRIK12ndTkzNJjA', '0jdNdfi4vAuVi7a6cPDFBM', '1AgAVqo74e2q4FVvg0xpT7']",256510,True,70,0,64.175,0.72,0.341,0.32,-6.208,0.0148,0.0,0.364,0,0.313,4
77lp4fXKk6G1Md0aYAl4Mz,2023-07-12T14:12:02Z,Intro La Divina Commedia,4ir7AIjfrMVHTxZhnfzhWl,1AgAVqo74e2q4FVvg0xpT7,[],161583,False,69,6,80.259,0.74,0.616,0.579,-7.933,0.384,0.0,0.15,1,0.391,4
0emoHo6F49vaomApgXBSUP,2023-07-12T10:04:53Z,Where Are We Going,3KmE6jhg7fEXffy7F5XIMn,40LhqyLxAdaQBBXZ1P8Ga9,['6qFEVczpjXakMuKcI5BBdc'],144000,False,49,2,79.955,0.441,0.418,0.04,-13.047,0.706,3.87e-05,0.0961,0,0.0443,4
