track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature
601dhwn8qc31FrSlMu5wEf,2023-08-11T07:27:37Z,OKI DOKI,1f2q2JQ3GFwIrWch2JLC0u,790FomKkXshlbRYZFtlgla,[],143789,True,0,2,105.982,0.753,0.835,0.583,-4.167,0.204,0.000186,0.384,0,0.0521,4
2i8f4VnnBjy0yDqH2C452a,2023-08-11T07:27:37Z,bad idea right?,3SHq2tBWWsAG6NEOMKZSj0,1McMsnEElThX1knmY4oliG,[],184783,True,0,9,129.976,0.878,0.628,0.796,-3.468,0.00196,1.23e-05,0.0649,1,0.0901,4
3YgtkOxZsTuaZdL8McA1FQ,2023-08-11T07:27:37Z,adore u,7K3BWpksmH4L7BoqUdhZrL,4oLeXFyACqeem2VImYeBFe,['6l7R1jntPahGxwJt7Tky8h'],220653,False,0,0,124.015,0.867,0.747,0.684,-7.311,0.582,0.00413,0.114,1,0.088,4
2buC0ru4cVutdUhxIjH9Bj,2023-08-11T07:27:37Z,"SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",1WTsQGAIC9JKFwP5iSgGU3,0QHgL1lAIqAw0HtD7YldmP,"['5f7VJjfbwm532GiveGC0ZK', '1RyvyyTE3xzB2ZywiAwp0i', '4O15NlyKLIASxsJ0PrXPfz']",206972,False,0,5,98.952,0.822,0.681,0.427,-5.68,0.00262,0.0,0.159,0,0.227,4
32PKkiwexuMNEDqfH1p3IH,2023-08-11T07:27:37Z,You Ain't No Celebrity,5xnXOCf5aZgZ43DgGN4EDv,59oA5WbbQvomJz2BuRG071,['4sSSkVtrCTzENCgm2vokiY'],153508,False,0,2,104.045,0.551,0.81,0.463,-7.312,0.0724,0.000405,0.35,1,0.0677,4
2fhtNu3GpxpZZL669pbP1h,2023-08-11T07:27:37Z,Andaluza,1k0F8bRdT0klGyWqQa8IPy,2CCgb0KApjfQDuTppovpf8,['09ryxLeU3mzmubZtcyDGdA'],186352,False,0,11,169.901,0.571,0.757,0.657,-6.417,0.495,0.0105,0.107,0,0.209,4
1xaI8BC30DDf9RDQSWyonb,2023-08-11T07:27:37Z,Elevator Eyes,3EV8D8ljJf9bxlWCbpzmTJ,4NHQUGzhtTLFvgF5SZesLK,[],178352,False,47,2,155.904,0.698,0.642,0.606,-6.405,0.0578,2.14e-06,0.074,1,0.0482,4
1UWf4dn9d17amlGBLY4U1I,2023-08-11T07:27:37Z,DELIRIUM,5PrrhEOjQwqY1VsVuG4vQZ,67MNhiAICFY6Pwc2YxCO0K,[],167227,False,0,7,80.137,0.708,0.295,0.258,-5.333,0.0836,0.0,0.139,1,0.158,4
2d7skuHfmB45wv4KyC2v13,2023-08-11T07:27:37Z,Closed Doors (feat. Roddy Ricch),4zkMdAqSIOLL2BOFZeQ3tg,6Xgp2XMz1fhVYe7i6yNAax,['757aE44tKEUQEqRuT6GnEB'],168880,True,0,9,79.993,0.539,0.623,0.546,-6.449,0.439,0.0,0.162,1,0.277,4
6LkUoldwZphq2VaNRHUq5N,2023-08-11T07:27:37Z,Now It’s Real,0QjhNM3DEemC41NSJ4Lu6E,13y7CgLHjMVRMDqxdx0Xdo,[],253157,True,0,1,133.965,0.511,0.847,0.148,-9.827,0.00874,0.0,0.127,1,0.121,4
6cU5urANuL1UYaBg5DNre4,2023-08-11T07:27:37Z,Number 9 (feat. Lil Yachty),0J6bZG0J9hhW3SijDBKw1B,360IAlyVv4PCEVjgyMZrxK,['6icQOAFXDZKsumw3YXyusw'],192058,False,0,6,126.02,0.646,0.762,0.623,-6.311,0.213,0.0,0.192,1,0.0465,4
0yLNWToE0zigyg3aqYrwdL,2023-08-11T07:27:37Z,Goodbye Never Felt So Bad,1oxbrgjKFu46YXY6zVZf9G,4EzkuveR9pLvDVFNx6foYD,[],250949,False,0,8,132.045,0.908,0.591,0.393,-4.417,0.0806,0.0,0.0997,1,0.0995,4
3QjAG3LVB0P5x251vwinVm,2023-08-11T07:27:37Z,Caught Up On You,6ICcS5WGbZr33DESzK9Xiq,66W9LaWS0DPdL7Sz8iYGYe,[],206840,True,0,3,131.534,0.41,0.508,0.395,-12.556,0.764,6.92e-05,0.198,1,0.253,3
4b2rlKIqyLxpxoIaG7sZ5K,2023-08-11T07:27:37Z,Save Me,7rCb8j8kaVvoKE44Dxf21y,4iBwchw0U0GZv5RfVYSMxN,"['1ChtRJ3f4rbv4vtz87i6CD', '4STmXOXUF3UieHU46NWLVt']",189783,False,0,6,126.013,0.908,0.673,0.045,-6.36,0.000485,0.781,0.113,0,0.0387,4
0t7ahpke8UKi61ikrSh5sd,2023-08-11T07:27:37Z,Changes,2ooyO0Krh2H87j4hJbPQiE,7keGfmQR4X5w0two1xKZ7d,['0tMr0e1EQZ0Vci7EHz2bM9'],304615,False,0,0,130.01,0.727,0.787,0.39,-4.213,0.00868,0.438,0.066,0,0.0566,4
1aNUSKBe6UMyMk3pEu9ws7,2023-08-11T07:27:37Z,Atmosphere,3rGYf6tkyIJ4BE2O2k7o0d,1VJ0briNOlXRtJUAzoUJdt,['3CGuwWgoCYSO5Z72H5G2Ec'],182857,False,0,8,125.979,0.895,0.762,0.755,-4.562,0.00618,0.145,0.203,1,0.0737,4
5D5sk1frNM4Ypsgvxa8SaB,2023-08-11T07:27:37Z,Pools and Palm Trees,357UpZKMD6Ar47ULSVhYpi,3V0ZQW0dNuVaFtbVYgSI24,[],186962,False,0,1,109.941,0.565,0.782,0.619,-5.235,0.309,0.0,0.122,0,0.073,4
7KC8vYxJYGVugTqZRhrC5y,2023-08-11T07:27:37Z,The Hype,7wl14HB2GYgR6ptsVuLq8z,4TrraAsitQKl821DQY42cZ,[],214500,False,0,7,129.963,0.737,0.571,0.3,-4.677,0.0217,0.0,0.133,1,0.038,4
5LZUMO0ZwB1wFqFjdamWfK,2023-08-11T07:27:37Z,Un Deux Trois,6JyUhSZBLGYfPVGCsQGVnL,12A83CWwFiyXy90ScLWPIe,['2RXmfgMl9V8akCT4wzTyE9'],149810,False,0,8,139.988,0.909,0.591,0.577,-4.487,0.0724,0.000309,0.316,0,0.0398,4
30wwtbPFkGRDSgIi00jIVC,2023-08-11T07:27:37Z,In My Bed,2rtHVEjKt47DVX17QI6Iqa,74GrV01oFcjJdLHCF9MWhr,['69liRSrij8eMDTX2fKbICm'],164032,False,0,4,123.988,0.804,0.666,0.59,-4.151,0.0859,4.71e-06,0.0649,0,0.0358,4
4idV4UhKatC5h4Na8dhBQo,2023-08-11T07:27:37Z,Coming Home (feat. Norma Jean Martine),3NVn8xsuoWREk1RCnNNHGo,67ghKnycRX6VM1xfqJSMlH,"['26OrZl5U3VNGHU9qUj8EcM', '2fsk4VlJdNF6G8cCMDrrzB']",136866,False,0,0,125.98,0.871,0.68,0.645,-4.019,0.028,0.000408,0.103,1,0.0337,4
56oomeTRgamzypt6iObrvA,2023-08-11T07:27:37Z,Parcera,1zli9BhqCmdNUeLXd2JFQm,4Ge9GwmWnOQsohwPTrXyHc,['1r4hJ1h58CWwUQe3MxPuau'],152343,True,0,6,127.998,0.723,0.774,0.264,-7.952,0.0127,0.124,0.152,0,0.0501,4
672pbi6q4UuyJYIuThNsq3,2023-08-11T07:27:37Z,Give You Love (feat. Jason Derulo),19F2dOW0JWTAuK941khqsA,6rHWAH6F4mr2AViSxMV673,['07YZf4WDAMNwqr4jfgOZ8y'],174125,False,0,10,96.008,0.635,0.678,0.603,-4.275,0.385,0.0,0.251,1,0.0406,4
6oDHOPYBOGjrRYM3QMxznO,2023-08-11T07:27:37Z,Fire of Mercy,4MxTYuvXTiZpKH0nnzcu7V,37uLId6Z5ZXCx19vuruvv5,['2sY4BbYrbvNVgsNzo6HddD'],239289,False,37,5,131.986,0.622,0.648,0.309,-7.379,0.215,8.08e-05,0.051,1,0.0395,4
5ZbDyFKoowe2Rwi5xjcNQp,2023-08-11T07:27:37Z,the slab,1OheOBc8tPeAQRNoFAq6ve,72X6FHxaShda0XeQw3vbeF,[],310874,False,41,10,147.971,0.942,0.375,0.568,-5.19,0.0259,0.98,0.361,1,0.0336,4
3V1Z8YNp4DbF9vQL3jGmG1,2023-08-11T07:27:37Z,Stay Alive,5rQBs4ikSzjlBG0kONn6Vj,1W7FNibLa0O0b572tB2w7t,[],202314,False,0,3,120.994,0.335,0.663,0.385,-9.169,0.682,0.00233,0.127,1,0.0291,4
4vqJ5IUZGVSHYYmILztz7h,2023-08-11T07:27:37Z,Finché Notte Non Ci Separi,5jpSuwPrhaoDCnok7eoHQJ,7lfWprbkwMtTCuOoKGoYNt,['3Tg6pYYnrDvaPH2OwyMl3S'],195558,False,0,0,130.068,0.432,0.735,0.419,-11.341,0.567,0.0,0.331,0,0.0625,4
6gmwkJCHUJa6f9RP4UrjSk,2023-08-11T07:27:37Z,GBG (feat. Marshmello),6Dnz4ttJCfBT9ZgsswTa1E,6EPlBSH2RSiettczlz7ihV,['64KEffDW9EtZ1y2vBYgq8T'],130794,True,0,1,147.099,0.655,0.832,0.86,-7.765,0.501,8.35e-06,0.162,1,0.408,4
11B7WTuoInwUvuP1BnnGWW,2023-08-11T07:27:37Z,bigger thën everything,5bVIz2j5nOioetMjM0T4F9,3qiHUAX7zY4Qnjx8TNUzVx,[],218264,True,0,10,149.947,0.63,0.684,0.177,-6.143,0.0171,0.000927,0.194,0,0.0589,4
2cEklOsQ4yr4SgtXZtHwvN,2023-08-11T07:27:37Z,Mami (feat. BIA),5Cfrwq2WmiSRAm5vRpjxse,3CJKkU0XuElRT1z8rEtIYg,['6veh5zbFpm31XsPdjBgPER'],178398,False,0,1,141.893,0.642,0.755,0.322,-6.009,0.0141,0.000252,0.171,1,0.262,4
7eEA003LpGnkMz765TtPyn,2023-08-11T07:27:37Z,WE MAN,39WBRLH8CvDmOV8snicCzk,0MTV1wG5r8M1hTexjolpA5,[],145972,True,0,4,124.968,0.634,0.729,0.312,-8.787,0.239,0.0,0.0876,0,0.127,4
7DgASvOeSqgjiFtQF5VE49,2023-08-11T07:27:37Z,Drive me crazy,3sUtbZaCmM9jT739MSZKPy,0PDAJtFlTKotT8i0mu1THx,['5W3ZpbTC2fyFGujra4uVTF'],135929,False,0,1,169.61,0.828,0.419,0.477,-3.463,0.321,0.0,0.166,0,0.229,4
0wUYmEDRdK185IVIIrtmjJ,2023-08-11T07:27:37Z,Two Kinds Of Trouble,6agQKhrctciHD4QH7KufOS,4DToQR3aKrHQSSRzSz8Nzt,[],164151,True,0,0,175.912,0.837,0.509,0.505,-2.961,0.296,3.86e-05,0.03,1,0.0946,4
7bg9faMjJDmN8VKC9gss9x,2023-08-11T07:27:37Z,No,4zDORUOtdnZm1x4IhgMtAD,5PLynKfQumQiB3ihXcG28Y,[],216790,False,0,5,153.915,0.867,0.442,0.527,-6.212,0.152,0.0,0.0672,1,0.097,4
0I43APbAcxRZkxYo6yipQj,2023-08-11T07:27:37Z,All The Things,5fEDgKojVggsini4nyUhX3,4VqlewwKZJoIcA88PYHUDd,[],202389,False,0,5,150.089,0.829,0.559,0.969,-6.036,0.056,4.62e-06,0.0863,1,0.077,4
1l7Fu5FoMPqocEO9bO5EiG,2023-08-11T07:27:37Z,Magical Signs,7pXHM8pLfASnm2NqIqFaKf,4iHnLagnnmgiIwMSm1wuTq,[],256000,False,0,1,124.004,0.936,0.63,0.0295,-7.606,0.000396,0.73,0.0921,0,0.0445,4
68M0lk2tYUaQf1TVsEYSXS,2023-08-11T07:27:37Z,MANIC,7aZzOXdbZOl9A8FL3z1c20,1AHswQqsDNmu1xaE8KpBne,[],138461,False,0,0,119.986,0.454,0.93,0.526,-9.793,0.0384,0.34,0.22,1,0.318,4
2fOZ73ESGKEaIjnmlPrMF9,2023-08-11T07:27:37Z,I Can't Stop,2PWIpFE5JdIWvcimrvF9Wn,0jWniZlqlLCZY3xSPwPXz5,[],151351,False,0,10,111.0,0.742,0.847,0.56,-4.479,0.102,3.32e-05,0.0849,0,0.0519,4
6JuYlCjEoV9Sv2fRFqnRIe,2023-08-11T07:27:37Z,Happy Again,39jSSdovMUWcpGfBztEPay,1l2NYhptmHjo64MDOcej1x,[],154125,False,0,1,120.108,0.348,0.625,0.508,-8.815,0.838,1.49e-06,0.0765,1,0.0374,4
4tCwtpj5QR1FLpCevAuGx3,2023-08-11T07:27:37Z,"sideline, red wine lover",3n22PGmZoD2DTEr9AuBws4,77NQclqFwTZe98FzGpHsIb,[],167078,False,1,5,181.89,0.337,0.333,0.433,-9.137,0.866,4.25e-05,0.117,0,0.0371,4
5pyLmnW31JUqznPiwsoeUR,2023-08-11T07:27:37Z,Eats The Tale,6AzvKQoqiD8PHz5n9b4XqT,3VwKSHAfgzV1DOHV0aANCI,['3MM3uKNdJbvefUael12dl3'],221503,False,6,9,124.975,0.899,0.711,0.266,-4.948,0.407,0.804,0.158,0,0.0419,4
4hcm7Jj3Mts0J9fmo1TXv9,2023-08-11T07:27:37Z,Diabla (feat. Baby Rich & Don Pero),35eJbxlhdwCwHBWO40MJ3h,6JKLzRBKTJYf1Wko3cNr7P,"['4rQfPosRUCIb7zmKGsmS6s', '6nNm1ydguU7kzvUHidRxRN', '2KLafS2cc489GVGuYm5aE2']",187442,True,0,1,169.898,0.723,0.568,0.325,-6.046,0.0368,0.0,0.105,1,0.0613,4
6U1FZKN8kPWJNLnGqAWX4d,2023-08-11T07:27:37Z,Muori!,2h2JocXmw1JjBM52U1sHL9,0UzEWU7bayHtdSV0pi2aQd,['4aAiKU8UocJHjZfxjQuaCU'],152951,True,0,0,188.256,0.969,0.406,0.414,-4.737,0.0806,0.0,0.164,1,0.138,4
