id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto
1K9qAxGT4cWUicf2OezSen,VETRI_NERI,VETRI_NERI,2023-05-19,AVA,"['ANNA', 'Capo_Plaza']","['italian hip hop', 'trap italiana']",84,6,134,0.77,0.75,0.53,-4.98,0.08,0.0,0.11,1,0.059,4,0.529,0.0,0.0,0.0,1.0,0.0,0.0
6VOoSi7mgFrKCeymxG6wKB,DISCO_PARADISE,DISCO_PARADISE,2023-05-25,Fedez,"['Annalisa', 'Articolo_31']","['italian adult pop', 'italian pop']",81,2,123,0.92,0.78,0.84,-1.75,0.07,0.0,0.11,1,0.068,4,0.841,0.0,0.0,0.0,1.0,0.0,0.0
3VtGh8xE9qRsFyY2Uj1WG3,Hoe_(feat._Sfera_Ebbasta),La_Divina_Commedia,2023-06-02,Tedua,['Sfera_Ebbasta'],"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",85,2,114,0.76,0.94,0.41,-6.62,0.1,0.0,0.16,1,0.117,4,0.406,0.0,0.0,0.0,1.0,0.0,0.0
6gs7AIeuNkpktUbwZcES2Y,Un_milione_di_volte_(feat._Sfera_Ebbasta),Santana_Season,2023-06-09,Shiva,['Sfera_Ebbasta'],"['italian hip hop', 'italian pop', 'trap italiana']",81,7,140,0.65,0.73,0.31,-5.87,0.25,0.0,0.12,0,0.057,4,0.306,0.0,0.0,0.0,1.0,0.0,0.0
1nRBnmoVz7Hgs8ZQAbTqMK,Rubami_la_Notte,Rubami_la_Notte,2023-05-19,Pinguini_Tattici_Nucleari,[],"['bergamo indie', 'italian indie pop', 'italian pop', 'milan indie']",79,7,77,0.88,0.55,0.63,-5.19,0.07,0.0,0.61,1,0.038,4,0.634,0.0,0.0,0.0,1.0,0.0,0.0
5x9LonDyHxGUO2VzfHJHLE,COME_VUOI,IL_CORAGGIO_DEI_BAMBINI,2023-01-06,Geolier,[],"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",81,8,130,0.63,0.76,0.9,-5.3,0.13,0.0,0.06,0,0.05,4,0.896,0.0,0.0,0.0,1.0,0.0,0.0
1UcJs6RsX9upkeaFCNPBNs,Mon_Amour,Mon_Amour,2023-03-31,Annalisa,[],"['italian adult pop', 'italian pop']",82,0,124,0.81,0.76,0.72,-3.02,0.01,0.0,0.24,0,0.095,4,0.717,0.0,0.0,0.0,1.0,0.0,0.0
3xee23Fj4m6DVu9UrWX5Up,Ci_pensiamo_domani,Ci_pensiamo_domani,2023-05-12,Angelina_Mango,[],[],79,11,122,0.67,0.86,0.76,-3.57,0.04,0.0,0.25,0,0.074,4,0.759,0.0,0.0,0.0,0.0,0.0,0.0
3QAU2pj4LUKf7yaTgANlQV,ITALODISCO,ITALODISCO,2023-05-05,The_Kolors,[],"['italian adult pop', 'italian pop']",76,11,123,0.58,0.89,0.82,-5.14,0.0,0.0,0.07,0,0.06,4,0.817,0.0,0.0,0.0,1.0,0.0,0.0
2hHC2jw8qiE4IAPDGjU4Fu,"Gelosa_(feat._Shiva,_Sfera_Ebbasta,_Guè)","Gelosa_(feat._Shiva,_Sfera_Ebbasta,_Guè)",2023-02-24,Finesse,"['Shiva', 'Sfera_Ebbasta', 'Guè']",[],83,7,150,0.67,0.73,0.48,-5.5,0.04,0.0,0.1,1,0.07,4,0.479,0.0,0.0,0.0,0.0,0.0,0.0
