id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto
4I1OcJiqk279qLaI2OAecB,LUNA,GÉNESIS,2023-06-22,Peso_Pluma,['Junior_H'],"['corrido', 'nueva musica mexicana', 'sad sierreno']",84,9,128,0.63,0.75,0.79,-8.51,0.33,0.004,0.15,0,0.036,3,0.793,0.0,0.0,0.0,0.0,0.0,0.0
7qLr3HMApUbyDkUvgIvHnB,Oh_U_Went_(feat._Drake),BUSINESS_IS_BUSINESS,2023-06-23,Young_Thug,['Drake'],"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'rap', 'trap']",81,7,136,0.79,0.81,0.47,-5.88,0.05,0.0,0.08,0,0.236,4,0.465,0.0,0.0,0.0,1.0,0.0,0.0
741UUVE2kuITl0c6zuqqbO,Barbie_World_(with_Aqua)_[From_Barbie_The_Album],Barbie_World_(with_Aqua)_[From_Barbie_The_Album],2023-06-23,Nicki_Minaj,"['Ice_Spice', 'Aqua']","['hip pop', 'pop', 'queens hip hop', 'rap']",82,0,144,0.58,0.77,0.75,-8.39,0.52,0.0,0.23,1,0.247,4,0.753,0.0,0.0,0.0,1.0,0.0,0.0
2NFadq6pUeiVEihLvUlOSr,"Rauw_Alejandro:_Bzrp_Music_Sessions,_Vol._56","Rauw_Alejandro:_Bzrp_Music_Sessions,_Vol._56",2023-06-21,Bizarrap,['Rauw_Alejandro'],"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",87,11,128,0.65,0.78,0.59,-3.63,0.1,0.0,0.26,1,0.049,4,0.592,0.0,0.0,0.0,0.0,0.0,0.0
7CyPwkp0oE8Ro9Dd5CUDjW,"One_Of_The_Girls_(with_JENNIE,_Lily_Rose_Depp)",The_Idol_Episode_4_(Music_from_the_HBO_Original_Series),2023-06-23,The_Weeknd,"['JENNIE', 'Lily-Rose_Depp']","['canadian contemporary r&b', 'canadian pop', 'pop']",78,8,88,0.64,0.52,0.2,-6.29,0.05,0.0,0.16,1,0.032,4,0.202,0.0,0.0,0.0,1.0,0.0,0.0
4f0i8ligJspqXf8qeAV1sS,Make_My_Day_(with_David_Guetta),COI,2023-06-23,Coi_Leray,['David_Guetta'],"['new jersey underground rap', 'trap queen']",67,10,110,0.69,0.8,0.57,-7.15,0.06,0.0,0.1,0,0.251,4,0.567,0.0,0.0,0.0,0.0,0.0,0.0
3bkpVSoNvBkvt9LJMFT5at,Doomsday_(with_Juice_WRLD_&_Cordae),Doomsday,2023-06-23,Lyrical_Lemonade,"['Juice_WRLD', 'Cordae']",[],78,10,93,0.73,0.73,0.89,-3.94,0.06,0.0,0.3,0,0.203,4,0.885,0.0,0.0,0.0,0.0,0.0,0.0
0nVpE03Iv9uioPSomEN5v0,Funk_Rave,Funk_Rave,2023-06-23,Anitta,[],"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']",78,11,135,0.8,0.88,0.71,-4.83,0.15,0.001,0.07,0,0.093,4,0.706,0.0,0.0,0.0,1.0,0.0,0.0
45hEUx8ywENLrB13nEfntt,rock_hudson,chemistry,2023-06-23,Kelly_Clarkson,[],"['dance pop', 'pop', 'talent show']",64,1,93,0.55,0.64,0.1,-7.61,0.01,0.0,0.12,1,0.035,4,0.101,0.0,0.0,0.0,1.0,0.0,0.0
0RKR9cd6tqMSJmbNVBQsuS,King_of_Hearts,Feed_The_Beast,2023-06-23,Kim_Petras,[],"['alt z', 'pop', 'transpop']",71,7,133,0.83,0.68,0.8,-4.57,0.02,0.001,0.18,0,0.076,4,0.797,0.0,0.0,0.0,1.0,0.0,0.0
2uPyRKg62IcLFaGXXw0qEn,June_22nd,June_22nd,2023-06-22,Lil_Tjay,[],"['brooklyn drill', 'melodic rap', 'nyc rap', 'rap']",72,11,160,0.67,0.69,0.3,-6.2,0.12,0.0,0.71,0,0.327,4,0.303,0.0,0.0,0.0,1.0,0.0,0.0
7g6FlLHxbVqMi1s7S8tDTp,Summer_Too_Hot,Summer_Too_Hot,2023-06-23,Chris_Brown,[],"['r&b', 'rap']",71,11,90,0.71,0.68,0.25,-6.64,0.15,0.0,0.37,0,0.057,4,0.254,0.0,0.0,0.0,1.0,0.0,0.0
65leXqfkdViSssEVN23uYL,Mama_s_Boy,Mama_s_Boy,2023-06-23,Dominic_Fike,[],"['alternative pop rock', 'pov: indie']",65,9,79,0.35,0.81,0.6,-7.55,0.15,0.713,0.19,1,0.032,4,0.602,0.0,0.0,0.0,0.0,0.0,0.0
2SOvWt6igzXViIjIiWNWEP,BABY_HELLO,BABY_HELLO,2023-06-23,Rauw_Alejandro,['Bizarrap'],"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",81,1,130,0.89,0.77,0.84,-3.73,0.17,0.0,0.43,0,0.048,4,0.842,0.0,0.0,0.0,0.0,0.0,0.0
1wYTR3Hg5rBQcdfxGEdsx0,See_You_Again,See_You_Again,2023-06-23,The_Chainsmokers,"['ILLENIUM', 'Carlie_Hanson']","['electropop', 'pop']",73,4,144,0.5,0.48,0.21,-4.99,0.08,0.001,0.18,1,0.03,4,0.209,0.0,0.0,0.0,1.0,0.0,0.0
0UaqZbfeKuOdPxkyK7782l,But_Not_Kiss,But_Not_Kiss,2023-06-20,Faye_Webster,[],"['atlanta indie', 'indie pop']",63,4,82,0.51,0.7,0.15,-8.82,0.13,0.167,0.09,0,0.037,4,0.152,0.0,0.0,0.0,0.0,0.0,0.0
1Qd2xhbAtS1MP5UW2BUfqj,Unknown_/_Nth,Unknown_/_Nth,2023-06-23,Hozier,[],"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",65,2,135,0.18,0.48,0.22,-9.98,0.74,0.0,0.09,1,0.036,4,0.216,0.0,0.0,0.0,1.0,0.0,0.0
11lEoJlWD0d8dkH4YpkzFF,Some_Horses,Memory_Lane,2023-06-23,Old_Dominion,[],"['contemporary country', 'country', 'country road', 'modern country rock']",60,0,80,0.61,0.57,0.15,-8.68,0.29,0.0,0.11,0,0.036,4,0.154,0.0,0.0,0.0,0.0,0.0,0.0
696gO5dO34MHhmZlL9Mh19,True_Babe,True_Babe,2023-06-23,Gwen_Stefani,[],"['dance pop', 'pop']",62,9,118,0.81,0.61,0.41,-3.21,0.01,0.0,0.13,1,0.044,4,0.415,0.0,0.0,0.0,1.0,0.0,1.0
6KzI6EM1QYyOq5oudPlcWT,Alive!,Alive!,2023-06-21,Bakar,[],['uk alternative hip hop'],63,8,97,0.74,0.75,0.58,-5.41,0.52,0.0,0.09,0,0.031,4,0.579,0.0,0.0,0.0,0.0,0.0,0.0
4USnWN7PzU3LT04l2qwXpo,Grim_Generation,Chris_Black_Changed_My_Life,2023-06-23,Portugal._The_Man,[],"['indie rock', 'indietronica', 'modern alternative rock', 'modern rock']",59,7,124,0.84,0.64,0.47,-3.68,0.01,0.366,0.75,1,0.049,4,0.467,0.0,0.0,0.0,0.0,0.0,0.0
3A1TIw1yMxj5OckDuqRtiT,The_Star_Room_(OG_Version)_-_Bonus_Track,Watching_Movies_with_the_Sound_Off_(10th_Anniversary),2023-06-23,Mac_Miller,['Earl_Sweatshirt'],"['hip hop', 'pittsburgh rap', 'rap']",66,8,75,0.57,0.54,0.39,-8.06,0.92,0.0,0.12,1,0.057,4,0.386,0.0,0.0,0.0,1.0,0.0,0.0
