id,name,album,uscita,artista,collaboratori,generi,popularity,key,bpm,energy,danceability,happiness,loudness,acousticness,instrumentalness,liveness,mode,speechiness,time_signature,valence,canzoneArtistaPreferito,canzoneSimileArtistaPreferito,canzoneSimileGenerePreferito,GenerePreferito,artistaPreferito,artistaPreferitoCoinvolto
0cefXmvbKCLgPnSoWqclfz,"BON_TON_(feat._Lazza,_BLANCO,_Sfera_Ebbasta_&_Michelangelo)","BON_TON_(feat._Lazza,_BLANCO,_Sfera_Ebbasta_&_Michelangelo)",2023-06-22,Drillionaire,"['Lazza', 'BLANCO', 'Sfera_Ebbasta', 'Michelangelo']",[],75,11,130,0.73,0.64,0.64,-7.8,0.09,0.0,0.71,1,0.041,4,0.644,0.0,0.0,0.0,0.0,0.0,0.0
01Lhwz9MYE6hu58oLQjOxh,Un_Altro_Mondo_(con_Tananai_&_Marracash),Un_Altro_Mondo_(con_Tananai_&_Marracash),2023-06-21,Merk_&_Kremont,"['Tananai', 'Marracash']","['dutch house', 'electro house', 'progressive electro house', 'sky room']",66,8,136,0.91,0.58,0.33,-3.45,0.19,0.0,0.09,1,0.088,4,0.326,0.0,0.0,0.0,0.0,0.0,0.0
7kvQDzIegURcWHLC0fZfrQ,Ancora,Ancora,2023-06-21,Rhove,[],"['italian hip hop', 'trap italiana']",66,9,138,0.7,0.74,0.58,-8.16,0.46,0.0,0.16,1,0.08,4,0.583,0.0,0.0,0.0,1.0,0.0,0.0
741UUVE2kuITl0c6zuqqbO,Barbie_World_(with_Aqua)_[From_Barbie_The_Album],Barbie_World_(with_Aqua)_[From_Barbie_The_Album],2023-06-23,Nicki_Minaj,"['Ice_Spice', 'Aqua']","['hip pop', 'pop', 'queens hip hop', 'rap']",82,0,144,0.58,0.77,0.75,-8.39,0.52,0.0,0.23,1,0.247,4,0.753,0.0,0.0,0.0,1.0,0.0,0.0
4bPsiRqWPFPgLiPQR7jNo4,A_Lesser_Man,The_Idol_Episode_3_(Music_from_the_HBO_Original_Series),2023-06-19,The_Weeknd,[],"['canadian contemporary r&b', 'canadian pop', 'pop']",76,9,140,0.53,0.5,0.16,-8.51,0.01,0.001,0.32,0,0.033,4,0.161,0.0,0.0,0.0,1.0,0.0,0.0
4f0i8ligJspqXf8qeAV1sS,Make_My_Day_(with_David_Guetta),COI,2023-06-23,Coi_Leray,['David_Guetta'],"['new jersey underground rap', 'trap queen']",67,10,110,0.69,0.8,0.57,-7.15,0.06,0.0,0.1,0,0.251,4,0.567,0.0,0.0,0.0,0.0,0.0,0.0
3vdJE5XWVax2kVs6OTJzWM,BELLA,BELLA,2023-06-23,Neima_Ezza,['Dystopic'],"['italian hip hop', 'trap italiana']",59,9,122,0.65,0.6,0.77,-7.64,0.04,0.0,0.11,0,0.056,4,0.765,0.0,0.0,0.0,1.0,0.0,0.0
3j0MqTxm02MzOOPsI3EySu,Canzone_d_estate,Opera_Futura,2023-06-23,Levante,[],"['italian adult pop', 'italian pop', 'turin indie']",51,9,116,0.79,0.66,0.83,-4.21,0.02,0.0,0.25,1,0.038,4,0.828,0.0,0.0,0.0,1.0,0.0,0.0
5lD27Apjkk7ywgklSgqA2R,Sole_nel_blocco,JONES,2023-06-23,Vegas_Jones,[],['italian hip hop'],55,0,80,0.58,0.73,0.32,-8.07,0.08,0.0,0.11,0,0.053,4,0.316,0.0,0.0,0.0,1.0,0.0,1.0
2NFadq6pUeiVEihLvUlOSr,"Rauw_Alejandro:_Bzrp_Music_Sessions,_Vol._56","Rauw_Alejandro:_Bzrp_Music_Sessions,_Vol._56",2023-06-21,Bizarrap,['Rauw_Alejandro'],"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",87,11,128,0.65,0.78,0.59,-3.63,0.1,0.0,0.26,1,0.049,4,0.592,0.0,0.0,0.0,0.0,0.0,0.0
0RKR9cd6tqMSJmbNVBQsuS,King_of_Hearts,Feed_The_Beast,2023-06-23,Kim_Petras,[],"['alt z', 'pop', 'transpop']",71,7,133,0.83,0.68,0.8,-4.57,0.02,0.001,0.18,0,0.076,4,0.797,0.0,0.0,0.0,1.0,0.0,0.0
4EmH2iRucAgCOnhuJRotUi,Drifting,Drifting,2023-06-22,Tiësto,[],"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",71,9,130,0.95,0.62,0.38,-4.87,0.07,0.585,0.16,0,0.039,4,0.376,0.0,0.0,0.0,0.0,0.0,0.0
1aAE9RmUjVWacJjOEIL7aK,Maledetto_Mare,Maledetto_Mare,2023-06-23,Federico_Rossi,[],['italian pop'],52,8,156,0.88,0.54,0.57,-4.04,0.44,0.0,0.08,0,0.065,4,0.572,0.0,0.0,0.0,1.0,0.0,0.0
74yqsS2q0kYMopauE4D0Mi,TROPPO_CHIC_(Dragostea_Din_Tei),TROPPO_CHIC_(Dragostea_Din_Tei),2023-06-23,Caffellatte,['Haiducii'],['r&b italiano'],48,3,130,0.82,0.66,0.52,-5.25,0.02,0.0,0.19,1,0.163,4,0.522,0.0,0.0,0.0,0.0,0.0,0.0
6jmuXOufAc0Iybgv9GOQTU,Santa_subito_(feat._Asteria),Santa_subito_(feat._Asteria),2023-06-23,chiamamifaro,['Asteria'],[],48,0,116,0.9,0.72,0.67,-3.82,0.14,0.0,0.21,1,0.053,4,0.673,0.0,0.0,0.0,0.0,0.0,0.0
0nVpE03Iv9uioPSomEN5v0,Funk_Rave,Funk_Rave,2023-06-23,Anitta,[],"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']",78,11,135,0.8,0.88,0.71,-4.83,0.15,0.001,0.07,0,0.093,4,0.706,0.0,0.0,0.0,1.0,0.0,0.0
6mlht8uraBsyvWMLMVaU2G,Run,The_Good_Witch,2023-06-23,Maisie_Peters,[],"['alt z', 'uk pop']",65,1,164,0.84,0.66,0.47,-5.5,0.23,0.0,0.18,1,0.173,4,0.466,0.0,0.0,0.0,0.0,0.0,0.0
3iXH8nRdc945PO0GlbOroA,Sandman,Sandman,2023-06-23,Tai_Verdes,[],"['modern indie pop', 'singer-songwriter pop']",61,9,126,0.64,0.88,0.96,-7.95,0.04,0.0,0.34,0,0.035,4,0.961,0.0,0.0,0.0,0.0,0.0,0.0
65leXqfkdViSssEVN23uYL,Mama_s_Boy,Mama_s_Boy,2023-06-23,Dominic_Fike,[],"['alternative pop rock', 'pov: indie']",65,9,79,0.35,0.81,0.6,-7.55,0.15,0.713,0.19,1,0.032,4,0.602,0.0,0.0,0.0,0.0,0.0,0.0
0u4McpLubDZh1DwT9rtpNr,Carrà,Carrà,2023-06-23,Gio_Evan,[],"['italian indie pop', 'italian pop']",44,6,120,0.66,0.78,0.87,-6.54,0.43,0.0,0.07,1,0.081,4,0.866,0.0,0.0,0.0,1.0,0.0,0.0
0zbO6cDFBa0JJblfyiTxgc,Curaçao,Curaçao,2023-06-23,Epoque,[],[],39,1,92,0.7,0.73,0.51,-5.49,0.0,0.0,0.09,1,0.052,4,0.513,0.0,0.0,0.0,0.0,0.0,0.0
2WwS4XZZCg56o3ywscBslY,Borotalco,Borotalco,2023-06-23,Fudasca,"['Memento', 'Assurditè']","['sad lo-fi', 'sad rap']",40,10,82,0.76,0.65,0.85,-6.05,0.21,0.0,0.35,1,0.153,4,0.85,0.0,0.0,0.0,0.0,0.0,0.0
1YR7Ed3gb7lTUiti5uJ3lB,DISPERATO,DISPERATO,2023-06-23,Tancredi,['EDONiCO'],['italian pop'],42,11,162,0.85,0.57,0.67,-8.01,0.0,0.0,0.23,1,0.042,4,0.67,0.0,0.0,0.0,1.0,0.0,0.0
3SF3BnafrAXdF5OVKvQVps,La_tua_ragazza,La_tua_ragazza,2023-06-23,svegliaginevra,[],[],42,1,130,0.83,0.74,0.89,-4.12,0.1,0.0,0.34,0,0.03,4,0.89,0.0,0.0,0.0,0.0,0.0,0.0
