,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
0,3wld38PU9xGmtSbO5elWSt,2023-08-07T06:24:18Z,"FASHION (feat. ANNA, Lazza, Tony Effe & Benny Benassi)",0wseGI0Yw53Ys8W7QGX36a,0qts5zYDAeK8dBmrdF2Zwq,"['7K80yOTC0Id95gRaOxDG5u', '0jdNdfi4vAuVi7a6cPDFBM', '6CKch2otN4SPznHf9ms5JF', '4Ws2otunReOa6BbwxxpCt6']",182407,True,73,10,138.03,0.637,0.693,0.489,-8.504,0.0786,0.00333,0.23,1,0.0419,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
7,1mblCC44D31Yu2o3DhrvbJ,2023-07-13T17:52:28Z,"PAROLE (Sono solo parole) (feat. Noemi, Lazza & Tedua)",0wseGI0Yw53Ys8W7QGX36a,0qts5zYDAeK8dBmrdF2Zwq,"['62C5P1caRIK12ndTkzNJjA', '0jdNdfi4vAuVi7a6cPDFBM', '1AgAVqo74e2q4FVvg0xpT7']",256510,True,70,0,64.175,0.72,0.341,0.32,-6.208,0.0148,0.0,0.364,0,0.313,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
12,2SW4aQekoeJjjVfZYsczPs,2023-06-30T15:35:33Z,CHIAMA (feat. Capo Plaza & Salmo),0wseGI0Yw53Ys8W7QGX36a,0qts5zYDAeK8dBmrdF2Zwq,"['3hBQ4zniNdQf1cqqo6hzuW', '5SulO4l40qDuV9zUGLZx7n']",170904,True,71,7,104.005,0.769,0.635,0.552,-6.186,0.0133,4.16e-05,0.047,1,0.0995,4,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
92,0zO8ctW0UiuOefR87OeJOZ,2023-02-15T10:58:30Z,Collard Greens,7Et3bSTLLqdABO1qCxUplS,5IcR3N7QB1j6KBL8eImZ8m,['2YZyLoL8N0Wb9xBt1NhZWg'],299960,True,79,11,153.954,0.575,0.825,0.65,-4.87,0.025,9.94e-06,0.205,1,0.0633,4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
94,5lWFrW5T3JtxVCLDb7etPu,2023-02-14T10:07:46Z,Bad - 2012 Remaster,24TAupSNVWSAHL0R7n71vm,3fMbdgg4jU18AjLCKBhRSm,[],247360,False,69,8,114.091,0.889,0.787,0.394,-3.786,0.00462,0.423,0.0665,1,0.0397,4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,46eu3SBuFCXWsPT39Yg3tJ,2023-02-14T10:07:33Z,Don't Stop 'Til You Get Enough,2ZytN2cY4Zjrr9ukb2rqTP,3fMbdgg4jU18AjLCKBhRSm,[],365466,False,77,11,118.881,0.821,0.878,0.947,-9.875,0.126,0.0461,0.183,1,0.089,4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,5T7ywazdGIydr6JCW6t02j,2023-02-14T10:07:23Z,Smooth Criminal - 2012 Remaster,3Us57CjssWnHjTUIXBuIeH,3fMbdgg4jU18AjLCKBhRSm,[],257760,False,74,8,118.193,0.981,0.853,0.595,-3.947,0.247,0.468,0.306,1,0.0751,4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,3BovdzfaX4jb5KFQwoPfAw,2023-02-14T10:05:20Z,Beat It,2ANVost0y2y52ema1E9xAZ,3fMbdgg4jU18AjLCKBhRSm,[],258399,False,78,3,138.728,0.711,0.776,0.901,-9.03,0.0242,0.000353,0.234,0,0.0473,4,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,7J1uxwnxfQLu4APicE5Rnj,2023-02-14T10:05:07Z,Billie Jean,2ANVost0y2y52ema1E9xAZ,3fMbdgg4jU18AjLCKBhRSm,[],294226,False,81,11,117.002,0.457,0.932,0.884,-9.62,0.0173,0.0436,0.0414,0,0.0541,4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2grjqo0Frpf2okIBiifQKs,2023-02-14T10:03:37Z,September,2FW0uQ4WL25umm5p2VrZO7,4QQgXkCYTt3BlENzhyNETg,[],215093,False,77,9,125.926,0.832,0.697,0.979,-7.264,0.168,0.00131,0.269,1,0.0298,4,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
