,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,Liked,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
722,4b2rlKIqyLxpxoIaG7sZ5K,2023-08-11T07:27:37Z,Save Me,7rCb8j8kaVvoKE44Dxf21y,4iBwchw0U0GZv5RfVYSMxN,"['1ChtRJ3f4rbv4vtz87i6CD', '4STmXOXUF3UieHU46NWLVt']",0.264322033549957,0,0.0,6,0.48122229997667365,0.908,0.673,0.045,0.7445342277786248,0.000485,0.781,0.113,0,0.0387,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,5ZbDyFKoowe2Rwi5xjcNQp,2023-08-11T07:27:37Z,the slab,1OheOBc8tPeAQRNoFAq6ve,72X6FHxaShda0XeQw3vbeF,[],0.5131947270417915,0,0.41000000000000003,10,0.627565063814189,0.942,0.375,0.568,0.7802103979265131,0.0259,0.98,0.361,1,0.0336,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
737,11B7WTuoInwUvuP1BnnGWW,2023-08-11T07:27:37Z,bigger thën everything,5bVIz2j5nOioetMjM0T4F9,3qiHUAX7zY4Qnjx8TNUzVx,[],0.32285770658379886,1,0.0,10,0.6407344463327668,0.63,0.684,0.177,0.751151090105199,0.0171,0.000927,0.194,0,0.0589,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
744,1l7Fu5FoMPqocEO9bO5EiG,2023-08-11T07:27:37Z,Magical Signs,7pXHM8pLfASnm2NqIqFaKf,4iHnLagnnmgiIwMSm1wuTq,[],0.40041475014284,0,0.0,1,0.4678329834383018,0.936,0.63,0.0295,0.7065406311937795,0.000396,0.73,0.0921,0,0.0445,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,4tCwtpj5QR1FLpCevAuGx3,2023-08-11T07:27:37Z,"sideline, red wine lover",3n22PGmZoD2DTEr9AuBws4,77NQclqFwTZe98FzGpHsIb,[],0.217657504346861,0,0.01,5,0.853623912826152,0.337,0.333,0.433,0.659856685470346,0.866,4.25e-05,0.117,0,0.0371,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,5pyLmnW31JUqznPiwsoeUR,2023-08-11T07:27:37Z,Eats The Tale,6AzvKQoqiD8PHz5n9b4XqT,3VwKSHAfgzV1DOHV0aANCI,['3MM3uKNdJbvefUael12dl3'],0.32951467245426036,0,0.06,9,0.47430437535406034,0.899,0.711,0.266,0.7875895715810337,0.407,0.804,0.158,0,0.0419,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
753,5Ev582e7ykI3jVCCJ0ECZM,2023-08-11T07:27:37Z,Good Enough,3HVCEunHy1YDjtBjmWNdtv,4SdIXLzfabqU61iK7SnKAU,[],0.24938650685015964,0,0.0,0,0.7609983671565195,0.718,0.341,0.114,0.823082787010215,0.00961,1.59e-05,0.145,1,0.052,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,69WiLaNQxDcf4yjAWcDruZ,2023-08-11T07:27:37Z,Drunk & Loud,5v9ShaPCZn1arjR9BmkUNy,4ae1CMoZOjwIOUmhJlA9Tt,[],0.11055002692381996,0,0.05,8,0.49485820920390544,0.853,0.54,0.516,0.788565330080805,0.000487,0.0097,0.267,1,0.036,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,6d1s6hUquEKUml3y8tiG2q,2023-08-11T07:27:37Z,Welcome to the Show,17yIxFRdGF7Kt2NdupdPzh,3EhbVgyfGd7HkpsagwL9GS,[],0.31968439528278225,0,0.23,1,0.14794894864873875,0.953,0.48,0.321,0.8559536514712608,0.0024,0.0,0.0968,1,0.103,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
785,6ds6kgkB0qRSpSnxcBomCO,2023-08-10T22:01:00Z,Un Briciolo Di Allegria (con MINA),44iFvVtFduw0s4bPAk5skP,1MRiIeZbc0cRuxOafDUCtH,['3HL1CyOnDLFJo1Rr8YBlKy'],0.30097131277257794,0,0.79,2,0.2540371221966743,0.707,0.617,0.392,0.8070437566702241,0.467,0.0,0.0481,1,0.0399,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
788,67nepsnrcZkowTxMWigSbb,2023-08-10T22:01:00Z,MELTDOWN (feat. Drake),18NOKLkZETa4sWwLMIm0UZ,0Y5tJX1MQlPlqiwlOH1tJY,['3TVXtAsR1Inumwj472S9r4'],0.38013556451646047,1,0.9400000000000001,7,0.387663700889733,0.774,0.557,0.397,0.7776185394114956,0.012,0.0,0.396,0,0.351,4,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
799,6wf7Yu7cxBSPrRlWeSeK0Q,2023-08-10T22:01:00Z,"What Was I Made For? [From The Motion Picture ""Barbie""]",3AafSrFIbJPH6BJHiJm1Cd,6qqNVTkY8uBg9cP3Jd7DAH,[],0.33129452192749886,0,0.97,0,0.16391749141924095,0.0911,0.444,0.142,0.3998170452812929,0.959,1.05e-06,0.098,1,0.0307,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
806,3myPe2jZvDbPoNXY7v2TU0,2023-08-10T22:01:00Z,Malamente,4ir7AIjfrMVHTxZhnfzhWl,1AgAVqo74e2q4FVvg0xpT7,[],0.24806908939941383,0,0.76,6,0.1801259622113366,0.648,0.458,0.234,0.6831834121055038,0.228,0.0,0.0892,1,0.0974,3,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
815,2bRXm4AA0GbbDXlo5SuSNW,2023-08-09T16:31:19Z,Pe t'avè,5k0Gpr3JOlSNhF0VeSZ0zs,6yGn8XOk9ZS6vUFf10sP96,['1H4c9hV4loHbcfQfdQmmzh'],0.35199297925427186,0,0.6,9,0.48756706321436893,0.455,0.735,0.336,0.5081262387559079,0.179,0.11,0.113,0,0.156,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
818,0mEdbdeRFQwBhN4xfyIeUM,2023-08-09T16:31:19Z,Can't Tell Me Nothing,4SZko61aMnmgvNhfhgTuD3,5K4W6rqBFWDnAN6FQUkS6x,[],0.4324767037023335,1,0.81,5,0.17475424039454823,0.62,0.596,0.102,0.7514560146363775,0.0122,0.0,0.82,0,0.039,4,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
819,42VsgItocQwOQC3XWZ8JNA,2023-08-09T16:31:19Z,FE!N (feat. Playboi Carti),18NOKLkZETa4sWwLMIm0UZ,0Y5tJX1MQlPlqiwlOH1tJY,['699OTQXzgjhIYAHMy9RyPD'],0.2682619543815947,1,0.93,3,0.6280115965210437,0.882,0.569,0.201,0.8537886872998932,0.0316,0.0,0.142,0,0.06,4,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
833,545rFGADsAjNGw7Nb0fDUe,2023-08-09T16:31:19Z,MALESSERE,1Dwq1mXGAe79jZ1U7KHWq6,0dzIqD49huTggBCvkduz72,"['4bvY1rC6kHzkbt2ome594m', '4WEY1EtpUsTc7DkeqABuxf']",0.1793907406722323,1,0.53,0,0.5745742943783532,0.802,0.701,0.748,0.7540783656045129,0.201,0.0,0.275,1,0.176,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840,1xFtMgO9wxJOglbdzFpLMM,2023-08-09T16:31:19Z,Una Magica Storia D'Amore,1Umud5EOQ4sNzbOyewF67O,4eSMsVzRJHhN1aq0IvZcyn,[],0.3967152939628985,0,0.62,0,0.1562198007264487,0.656,0.635,0.588,0.6481475834730903,0.197,0.0,0.314,0,0.0493,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
845,6ZeuLKwFxg10M4DhJPBjNm,2023-08-09T16:31:19Z,ME STAJE APPENNENN' AMÒ,6nuNEPqjdcumKXE0Nd99Wr,4X89u81dkCXBSGo8i2DhMW,[],0.5037117877005413,0,0.67,9,0.4081042353960478,0.748,0.648,0.122,0.675041927123037,0.0453,0.000103,0.44,0,0.103,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
855,1ydmhnyDOWr5y0s7Vvdw5i,2023-08-09T16:31:19Z,Can't Hold Us (feat. Ray Dalton),2pFX16u42q0e5F5vRmmzYT,5BcAKTbp20cv7tC5VqPFoC,"['3JhNCzhSMTxs9WLGJJxWOY', '4myTppRgh0rojLxx8RycOp', '4e0nWw2r4BoQSKPQ2zpU13']",0.4054110712391944,0,0.64,2,0.6150754773567929,0.927,0.633,0.88,0.8022259490776033,0.0267,0.0,0.0986,1,0.0839,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
861,3xGD5KhnizETt7KQwxtUAc,2023-08-09T16:31:19Z,Senza Di Me (feat. Venerus & Franco126),1RIFJfcfz9CgzSER8yweTm,4upwdFMlZBmQ68jP9jPzjK,"['49faW2w8eguUIAG5c85KcD', '2KkO9uXHF9BVNJASjLekAc']",0.2893509098606949,0,0.66,8,0.35638641740811083,0.636,0.698,0.313,0.7602683335874371,0.167,0.0,0.125,1,0.034,3,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
862,4xapIn6OHVjfotQKcgOL8K,2023-08-09T16:31:19Z,Per dimenticare,6jH8B2boL4X8mBVm2R4eaK,3bf7Y2it29DeOjXpIibCOe,[],0.30866823688028966,0,0.52,11,0.7413509280549169,0.875,0.633,0.905,0.728251257813691,0.113,0.000435,0.104,1,0.0525,4,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
864,1DQXiBc8DqPfcdLVZkouhI,2023-08-09T16:31:19Z,‘O Mar For,4gNqj9AqQFp0OGiwrVTo8W,064Wlx4YXsDEqEG0o5Hjxg,"['1bzx15Bv1ioIaewP85ad5J', '6od7hFnrVLa1zCuSyQimic', '6lEWyvLmlGZnwDdsUtu13P']",0.28502460138359653,0,0.65,11,0.5039154920190609,0.524,0.316,0.488,0.7032779387101692,0.0384,0.000116,0.099,0,0.0454,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
883,1HEGcG1QUJfyyPfq5EMF9b,2023-08-09T16:31:19Z,Lingerie,7GWVPJPcu8o1LCw94e5Rew,1AgAVqo74e2q4FVvg0xpT7,['23TFHmajVfBtlRx5MXqgoz'],0.281263487600656,0,0.66,9,0.4948981972075044,0.637,0.64,0.129,0.7001372160390303,0.0119,5.71e-05,0.0973,1,0.0479,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
887,0mHC3BK9vFGoEU0EcGPWRZ,2023-08-10T09:36:58Z,CENERE,7qMFX6YMY6dhl4OWzve4ty,0jdNdfi4vAuVi7a6cPDFBM,[],0.30242643220335497,0,0.74,2,0.4401879436169148,0.628,0.652,0.317,0.7393810032017075,0.305,0.0,0.221,0,0.107,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
889,3RyVu4sbEBBRi9fKif6fHc,2023-08-10T09:36:58Z,HOLLYWOOD,6QqDUInH8FiRADP1bG8LZF,5iot8OPcosJN9nCl7I5SdK,"['056KMTw6IztdQjBmFfVyO3', '6hkKbkZGvAXuvle2FhCnxy']",0.25408070569181884,0,0.64,5,0.3080209270552168,0.852,0.686,0.757,0.8264369568531789,0.126,0.0,0.142,0,0.0454,4,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
890,1kZLATTXQa5BtEKH8GbW2U,2023-08-10T09:36:58Z,Red Light,4ir7AIjfrMVHTxZhnfzhWl,1AgAVqo74e2q4FVvg0xpT7,[],0.2193058176003683,0,0.76,4,0.08466793295344727,0.624,0.558,0.574,0.7382222899832291,0.0678,0.0,0.0746,1,0.0439,4,1,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
