,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,Liked,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
715,1xaI8BC30DDf9RDQSWyonb,2023-08-11T07:27:37Z,Elevator Eyes,3EV8D8ljJf9bxlWCbpzmTJ,4NHQUGzhtTLFvgF5SZesLK,[],0.2408284315538949,0,0.47000000000000003,2,0.680435869239228,0.698,0.642,0.606,0.7431620673883214,0.0578,2.14e-06,0.074,1,0.0482,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
733,5ZbDyFKoowe2Rwi5xjcNQp,2023-08-11T07:27:37Z,the slab,1OheOBc8tPeAQRNoFAq6ve,72X6FHxaShda0XeQw3vbeF,[],0.5131947270417915,0,0.41000000000000003,10,0.627565063814189,0.942,0.375,0.568,0.7802103979265131,0.0259,0.98,0.361,1,0.0336,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
748,4tCwtpj5QR1FLpCevAuGx3,2023-08-11T07:27:37Z,"sideline, red wine lover",3n22PGmZoD2DTEr9AuBws4,77NQclqFwTZe98FzGpHsIb,[],0.217657504346861,0,0.01,5,0.853623912826152,0.337,0.333,0.433,0.659856685470346,0.866,4.25e-05,0.117,0,0.0371,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
749,5pyLmnW31JUqznPiwsoeUR,2023-08-11T07:27:37Z,Eats The Tale,6AzvKQoqiD8PHz5n9b4XqT,3VwKSHAfgzV1DOHV0aANCI,['3MM3uKNdJbvefUael12dl3'],0.32951467245426036,0,0.06,9,0.47430437535406034,0.899,0.711,0.266,0.7875895715810337,0.407,0.804,0.158,0,0.0419,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,69WiLaNQxDcf4yjAWcDruZ,2023-08-11T07:27:37Z,Drunk & Loud,5v9ShaPCZn1arjR9BmkUNy,4ae1CMoZOjwIOUmhJlA9Tt,[],0.11055002692381996,0,0.05,8,0.49485820920390544,0.853,0.54,0.516,0.788565330080805,0.000487,0.0097,0.267,1,0.036,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,7nT21dQ4yANGF98T5kaZoG,2023-08-11T07:27:37Z,Before,3dWIZSGz9moClPtrw9u9Zu,5isqImG0rLfAgBJSPMEVXF,[],0.42532853226131306,0,0.19,1,0.5077610050318238,0.746,0.66,0.344,0.6905320933069066,0.492,0.0349,0.0817,1,0.025,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,6d1s6hUquEKUml3y8tiG2q,2023-08-11T07:27:37Z,Welcome to the Show,17yIxFRdGF7Kt2NdupdPzh,3EhbVgyfGd7HkpsagwL9GS,[],0.31968439528278225,0,0.23,1,0.14794894864873875,0.953,0.48,0.321,0.8559536514712608,0.0024,0.0,0.0968,1,0.103,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
766,3VtGh8xE9qRsFyY2Uj1WG3,2023-08-10T22:01:00Z,Hoe (feat. Sfera Ebbasta),4ir7AIjfrMVHTxZhnfzhWl,1AgAVqo74e2q4FVvg0xpT7,['23TFHmajVfBtlRx5MXqgoz'],0.15604100641650123,0,0.8300000000000001,2,0.40145289746409407,0.757,0.936,0.406,0.7367281597804543,0.0974,0.0,0.156,1,0.117,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
799,6wf7Yu7cxBSPrRlWeSeK0Q,2023-08-10T22:01:00Z,"What Was I Made For? [From The Motion Picture ""Barbie""]",3AafSrFIbJPH6BJHiJm1Cd,6qqNVTkY8uBg9cP3Jd7DAH,[],0.33129452192749886,0,0.97,0,0.16391749141924095,0.0911,0.444,0.142,0.3998170452812929,0.959,1.05e-06,0.098,1,0.0307,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
815,2bRXm4AA0GbbDXlo5SuSNW,2023-08-09T16:31:19Z,Pe t'avè,5k0Gpr3JOlSNhF0VeSZ0zs,6yGn8XOk9ZS6vUFf10sP96,['1H4c9hV4loHbcfQfdQmmzh'],0.35199297925427186,0,0.6,9,0.48756706321436893,0.455,0.735,0.336,0.5081262387559079,0.179,0.11,0.113,0,0.156,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
