,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,Liked,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
711,3YgtkOxZsTuaZdL8McA1FQ,2023-08-11T07:27:37Z,adore u,7K3BWpksmH4L7BoqUdhZrL,4oLeXFyACqeem2VImYeBFe,['6l7R1jntPahGxwJt7Tky8h'],0.3277677070359546,0,0.0,0,0.4679062947782332,0.867,0.747,0.684,0.7155359048635462,0.582,0.00413,0.114,1,0.088,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
712,2buC0ru4cVutdUhxIjH9Bj,2023-08-11T07:27:37Z,"SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",1WTsQGAIC9JKFwP5iSgGU3,0QHgL1lAIqAw0HtD7YldmP,"['5f7VJjfbwm532GiveGC0ZK', '1RyvyyTE3xzB2ZywiAwp0i', '4O15NlyKLIASxsJ0PrXPfz']",0.2996497848149655,0,0.0,5,0.3008697390782765,0.822,0.681,0.427,0.765269095898765,0.00262,0.0,0.159,0,0.227,4,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
717,2d7skuHfmB45wv4KyC2v13,2023-08-11T07:27:37Z,Closed Doors (feat. Roddy Ricch),4zkMdAqSIOLL2BOFZeQ3tg,6Xgp2XMz1fhVYe7i6yNAax,['757aE44tKEUQEqRuT6GnEB'],0.22136107103366912,1,0.0,9,0.17451431237295478,0.539,0.623,0.546,0.7418203994511359,0.439,0.0,0.162,1,0.277,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
718,6LkUoldwZphq2VaNRHUq5N,2023-08-11T07:27:37Z,Now It’s Real,0QjhNM3DEemC41NSJ4Lu6E,13y7CgLHjMVRMDqxdx0Xdo,[],0.3945716646319657,1,0.0,1,0.5342197340797761,0.511,0.847,0.148,0.6388168928190272,0.00874,0.0,0.127,1,0.121,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
720,0yLNWToE0zigyg3aqYrwdL,2023-08-11T07:27:37Z,Goodbye Never Felt So Bad,1oxbrgjKFu46YXY6zVZf9G,4EzkuveR9pLvDVFNx6foYD,[],0.3900336650512374,0,0.0,8,0.5214235729281215,0.908,0.591,0.393,0.8037810641866138,0.0806,0.0,0.0997,1,0.0995,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
721,3QjAG3LVB0P5x251vwinVm,2023-08-11T07:27:37Z,Caught Up On You,6ICcS5WGbZr33DESzK9Xiq,66W9LaWS0DPdL7Sz8iYGYe,[],0.29937849136176975,1,0.0,3,0.5180179279549467,0.41,0.508,0.395,0.5556029882604056,0.764,6.92e-05,0.198,1,0.253,3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
722,4b2rlKIqyLxpxoIaG7sZ5K,2023-08-11T07:27:37Z,Save Me,7rCb8j8kaVvoKE44Dxf21y,4iBwchw0U0GZv5RfVYSMxN,"['1ChtRJ3f4rbv4vtz87i6CD', '4STmXOXUF3UieHU46NWLVt']",0.264322033549957,0,0.0,6,0.48122229997667365,0.908,0.673,0.045,0.7445342277786248,0.000485,0.781,0.113,0,0.0387,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
735,4vqJ5IUZGVSHYYmILztz7h,2023-08-11T07:27:37Z,Finché Notte Non Ci Separi,5jpSuwPrhaoDCnok7eoHQJ,7lfWprbkwMtTCuOoKGoYNt,['3Tg6pYYnrDvaPH2OwyMl3S'],0.2761911221272695,0,0.0,0,0.5082475257422774,0.432,0.735,0.419,0.5926513187985973,0.567,0.0,0.331,0,0.0625,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
736,6gmwkJCHUJa6f9RP4UrjSk,2023-08-11T07:27:37Z,GBG (feat. Marshmello),6Dnz4ttJCfBT9ZgsswTa1E,6EPlBSH2RSiettczlz7ihV,['64KEffDW9EtZ1y2vBYgq8T'],0.14308468877297256,1,0.0,1,0.6217534739578126,0.655,0.832,0.86,0.7016923311480409,0.501,8.35e-06,0.162,1,0.408,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
744,1l7Fu5FoMPqocEO9bO5EiG,2023-08-11T07:27:37Z,Magical Signs,7pXHM8pLfASnm2NqIqFaKf,4iHnLagnnmgiIwMSm1wuTq,[],0.40041475014284,0,0.0,1,0.4678329834383018,0.936,0.63,0.0295,0.7065406311937795,0.000396,0.73,0.0921,0,0.0445,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
