,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,Liked,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
712,2buC0ru4cVutdUhxIjH9Bj,2023-08-11T07:27:37Z,"SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",1WTsQGAIC9JKFwP5iSgGU3,0QHgL1lAIqAw0HtD7YldmP,"['5f7VJjfbwm532GiveGC0ZK', '1RyvyyTE3xzB2ZywiAwp0i', '4O15NlyKLIASxsJ0PrXPfz']",0.2996497848149655,0,0.0,5,0.3008697390782765,0.822,0.681,0.427,0.765269095898765,0.00262,0.0,0.159,0,0.227,4,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
717,2d7skuHfmB45wv4KyC2v13,2023-08-11T07:27:37Z,Closed Doors (feat. Roddy Ricch),4zkMdAqSIOLL2BOFZeQ3tg,6Xgp2XMz1fhVYe7i6yNAax,['757aE44tKEUQEqRuT6GnEB'],0.22136107103366912,1,0.0,9,0.17451431237295478,0.539,0.623,0.546,0.7418203994511359,0.439,0.0,0.162,1,0.277,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
718,6LkUoldwZphq2VaNRHUq5N,2023-08-11T07:27:37Z,Now It’s Real,0QjhNM3DEemC41NSJ4Lu6E,13y7CgLHjMVRMDqxdx0Xdo,[],0.3945716646319657,1,0.0,1,0.5342197340797761,0.511,0.847,0.148,0.6388168928190272,0.00874,0.0,0.127,1,0.121,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
721,3QjAG3LVB0P5x251vwinVm,2023-08-11T07:27:37Z,Caught Up On You,6ICcS5WGbZr33DESzK9Xiq,66W9LaWS0DPdL7Sz8iYGYe,[],0.29937849136176975,1,0.0,3,0.5180179279549467,0.41,0.508,0.395,0.5556029882604056,0.764,6.92e-05,0.198,1,0.253,3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
723,0t7ahpke8UKi61ikrSh5sd,2023-08-11T07:27:37Z,Changes,2ooyO0Krh2H87j4hJbPQiE,7keGfmQR4X5w0two1xKZ7d,['0tMr0e1EQZ0Vci7EHz2bM9'],0.5003308958027614,0,0.0,0,0.507860975040821,0.727,0.787,0.39,0.8100015246226558,0.00868,0.438,0.066,0,0.0566,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
733,5ZbDyFKoowe2Rwi5xjcNQp,2023-08-11T07:27:37Z,the slab,1OheOBc8tPeAQRNoFAq6ve,72X6FHxaShda0XeQw3vbeF,[],0.5131947270417915,0,0.41000000000000003,10,0.627565063814189,0.942,0.375,0.568,0.7802103979265131,0.0259,0.98,0.361,1,0.0336,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
755,7nT21dQ4yANGF98T5kaZoG,2023-08-11T07:27:37Z,Before,3dWIZSGz9moClPtrw9u9Zu,5isqImG0rLfAgBJSPMEVXF,[],0.42532853226131306,0,0.19,1,0.5077610050318238,0.746,0.66,0.344,0.6905320933069066,0.492,0.0349,0.0817,1,0.025,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
757,7Idwen98apdGsJh7B4vSTA,2023-08-11T07:27:37Z,Dammene ancora un po',6S7CreBwrPpnS6JZBc0S15,7fBNjQ2hEvNyisqpp8o4ZT,['78BNTkfK1PBUMe9EfJKKGX'],0.15775303252644082,0,0.0,2,0.8074444333366657,0.948,0.59,0.866,0.8228388473852721,0.00049,2.28e-06,0.0747,1,0.161,4,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,4bJGPVI2hTmIrmz4PUKCeQ,2023-08-10T22:01:00Z,"BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)",0wseGI0Yw53Ys8W7QGX36a,0qts5zYDAeK8dBmrdF2Zwq,"['0jdNdfi4vAuVi7a6cPDFBM', '1MRiIeZbc0cRuxOafDUCtH', '23TFHmajVfBtlRx5MXqgoz', '1K7IC4qha4KEXySo6yZmnH']",0.364515638423374,0,0.8200000000000001,11,0.5077143523609583,0.814,0.678,0.647,0.7786247903643848,0.0777,1.27e-06,0.158,1,0.0396,4,1,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
766,3VtGh8xE9qRsFyY2Uj1WG3,2023-08-10T22:01:00Z,Hoe (feat. Sfera Ebbasta),4ir7AIjfrMVHTxZhnfzhWl,1AgAVqo74e2q4FVvg0xpT7,['23TFHmajVfBtlRx5MXqgoz'],0.15604100641650123,0,0.8300000000000001,2,0.40145289746409407,0.757,0.936,0.406,0.7367281597804543,0.0974,0.0,0.156,1,0.117,4,1,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
