,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,Liked,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
712,2buC0ru4cVutdUhxIjH9Bj,2023-08-11T07:27:37Z,"SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",1WTsQGAIC9JKFwP5iSgGU3,0QHgL1lAIqAw0HtD7YldmP,"['5f7VJjfbwm532GiveGC0ZK', '1RyvyyTE3xzB2ZywiAwp0i', '4O15NlyKLIASxsJ0PrXPfz']",0.2996497848149655,0,0.0,5,0.3008697390782765,0.822,0.681,0.427,0.765269095898765,0.00262,0.0,0.159,0,0.227,4,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
716,1UWf4dn9d17amlGBLY4U1I,2023-08-11T07:27:37Z,DELIRIUM,5PrrhEOjQwqY1VsVuG4vQZ,67MNhiAICFY6Pwc2YxCO0K,[],0.21796373710842284,0,0.0,7,0.1754740244593288,0.708,0.295,0.258,0.7758499771306602,0.0836,0.0,0.139,1,0.158,4,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,2d7skuHfmB45wv4KyC2v13,2023-08-11T07:27:37Z,Closed Doors (feat. Roddy Ricch),4zkMdAqSIOLL2BOFZeQ3tg,6Xgp2XMz1fhVYe7i6yNAax,['757aE44tKEUQEqRuT6GnEB'],0.22136107103366912,1,0.0,9,0.17451431237295478,0.539,0.623,0.546,0.7418203994511359,0.439,0.0,0.162,1,0.277,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
718,6LkUoldwZphq2VaNRHUq5N,2023-08-11T07:27:37Z,Now It’s Real,0QjhNM3DEemC41NSJ4Lu6E,13y7CgLHjMVRMDqxdx0Xdo,[],0.3945716646319657,1,0.0,1,0.5342197340797761,0.511,0.847,0.148,0.6388168928190272,0.00874,0.0,0.127,1,0.121,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
720,0yLNWToE0zigyg3aqYrwdL,2023-08-11T07:27:37Z,Goodbye Never Felt So Bad,1oxbrgjKFu46YXY6zVZf9G,4EzkuveR9pLvDVFNx6foYD,[],0.3900336650512374,0,0.0,8,0.5214235729281215,0.908,0.591,0.393,0.8037810641866138,0.0806,0.0,0.0997,1,0.0995,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
721,3QjAG3LVB0P5x251vwinVm,2023-08-11T07:27:37Z,Caught Up On You,6ICcS5WGbZr33DESzK9Xiq,66W9LaWS0DPdL7Sz8iYGYe,[],0.29937849136176975,1,0.0,3,0.5180179279549467,0.41,0.508,0.395,0.5556029882604056,0.764,6.92e-05,0.198,1,0.253,3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
722,4b2rlKIqyLxpxoIaG7sZ5K,2023-08-11T07:27:37Z,Save Me,7rCb8j8kaVvoKE44Dxf21y,4iBwchw0U0GZv5RfVYSMxN,"['1ChtRJ3f4rbv4vtz87i6CD', '4STmXOXUF3UieHU46NWLVt']",0.264322033549957,0,0.0,6,0.48122229997667365,0.908,0.673,0.045,0.7445342277786248,0.000485,0.781,0.113,0,0.0387,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,0t7ahpke8UKi61ikrSh5sd,2023-08-11T07:27:37Z,Changes,2ooyO0Krh2H87j4hJbPQiE,7keGfmQR4X5w0two1xKZ7d,['0tMr0e1EQZ0Vci7EHz2bM9'],0.5003308958027614,0,0.0,0,0.507860975040821,0.727,0.787,0.39,0.8100015246226558,0.00868,0.438,0.066,0,0.0566,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
726,7KC8vYxJYGVugTqZRhrC5y,2023-08-11T07:27:37Z,The Hype,7wl14HB2GYgR6ptsVuLq8z,4TrraAsitQKl821DQY42cZ,[],0.3151217326608544,0,0.0,7,0.5075477356792961,0.737,0.571,0.3,0.795853026375972,0.0217,0.0,0.133,1,0.038,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
733,5ZbDyFKoowe2Rwi5xjcNQp,2023-08-11T07:27:37Z,the slab,1OheOBc8tPeAQRNoFAq6ve,72X6FHxaShda0XeQw3vbeF,[],0.5131947270417915,0,0.41000000000000003,10,0.627565063814189,0.942,0.375,0.568,0.7802103979265131,0.0259,0.98,0.361,1,0.0336,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
