,track_id,track_added_at,track_name,album_id,main_artist_id,side_artists_id,track_duration,track_explicit,track_popularity,track_key,track_bpm,track_energy,track_danceability,track_happiness,track_loudness,track_acousticness,track_instrumentalness,track_liveness,track_mode,track_speechiness,track_time_signature,Liked,brano_ascoltato_freq,artista_ascoltato_freq,artista_singolare_importante,coll_artista_asc_freq,sim_struttura_musicale_brano_asc_freq,sim_emozioni_brano_asc_freq,macro_categoria_artista_asc_freq,genere_asc_freq,ha_composto_canzone,stesso_genere_artista_asc_freq,stesso_album_brano_asc_freq,stesso_artista_brano_asc_freq,brano_freq_importante,artista_freq_importante,coll_artista_freq_imp,macro_categoria_artista_freq_imp
712,2buC0ru4cVutdUhxIjH9Bj,2023-08-11T07:27:37Z,"SUPPOSED TO BE LOVED (feat. Lil Baby, Future & Lil Uzi Vert)",1WTsQGAIC9JKFwP5iSgGU3,0QHgL1lAIqAw0HtD7YldmP,"['5f7VJjfbwm532GiveGC0ZK', '1RyvyyTE3xzB2ZywiAwp0i', '4O15NlyKLIASxsJ0PrXPfz']",0.2996497848149655,0,0.0,5,0.3008697390782765,0.822,0.681,0.427,0.765269095898765,0.00262,0.0,0.159,0,0.227,4,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
717,2d7skuHfmB45wv4KyC2v13,2023-08-11T07:27:37Z,Closed Doors (feat. Roddy Ricch),4zkMdAqSIOLL2BOFZeQ3tg,6Xgp2XMz1fhVYe7i6yNAax,['757aE44tKEUQEqRuT6GnEB'],0.22136107103366912,1,0.0,9,0.17451431237295478,0.539,0.623,0.546,0.7418203994511359,0.439,0.0,0.162,1,0.277,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
718,6LkUoldwZphq2VaNRHUq5N,2023-08-11T07:27:37Z,Now It’s Real,0QjhNM3DEemC41NSJ4Lu6E,13y7CgLHjMVRMDqxdx0Xdo,[],0.3945716646319657,1,0.0,1,0.5342197340797761,0.511,0.847,0.148,0.6388168928190272,0.00874,0.0,0.127,1,0.121,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
721,3QjAG3LVB0P5x251vwinVm,2023-08-11T07:27:37Z,Caught Up On You,6ICcS5WGbZr33DESzK9Xiq,66W9LaWS0DPdL7Sz8iYGYe,[],0.29937849136176975,1,0.0,3,0.5180179279549467,0.41,0.508,0.395,0.5556029882604056,0.764,6.92e-05,0.198,1,0.253,3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
722,4b2rlKIqyLxpxoIaG7sZ5K,2023-08-11T07:27:37Z,Save Me,7rCb8j8kaVvoKE44Dxf21y,4iBwchw0U0GZv5RfVYSMxN,"['1ChtRJ3f4rbv4vtz87i6CD', '4STmXOXUF3UieHU46NWLVt']",0.264322033549957,0,0.0,6,0.48122229997667365,0.908,0.673,0.045,0.7445342277786248,0.000485,0.781,0.113,0,0.0387,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
736,6gmwkJCHUJa6f9RP4UrjSk,2023-08-11T07:27:37Z,GBG (feat. Marshmello),6Dnz4ttJCfBT9ZgsswTa1E,6EPlBSH2RSiettczlz7ihV,['64KEffDW9EtZ1y2vBYgq8T'],0.14308468877297256,1,0.0,1,0.6217534739578126,0.655,0.832,0.86,0.7016923311480409,0.501,8.35e-06,0.162,1,0.408,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
744,1l7Fu5FoMPqocEO9bO5EiG,2023-08-11T07:27:37Z,Magical Signs,7pXHM8pLfASnm2NqIqFaKf,4iHnLagnnmgiIwMSm1wuTq,[],0.40041475014284,0,0.0,1,0.4678329834383018,0.936,0.63,0.0295,0.7065406311937795,0.000396,0.73,0.0921,0,0.0445,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,4hcm7Jj3Mts0J9fmo1TXv9,2023-08-11T07:27:37Z,Diabla (feat. Baby Rich & Don Pero),35eJbxlhdwCwHBWO40MJ3h,6JKLzRBKTJYf1Wko3cNr7P,"['4rQfPosRUCIb7zmKGsmS6s', '6nNm1ydguU7kzvUHidRxRN', '2KLafS2cc489GVGuYm5aE2']",0.2595106852625997,1,0.0,1,0.7737012229664433,0.723,0.568,0.325,0.7541088580576307,0.0368,0.0,0.105,1,0.0613,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
752,2TB6N2b4m312syOhW86L78,2023-08-11T07:27:37Z,9MM,7zvA7MTa3LecAa491Ho10i,0MnomJDrX3FmjLCNuTLfz6,[],0.15892863749028893,1,0.0,6,0.5077876637008897,0.624,0.703,0.646,0.7327336484220155,0.321,5.2e-06,0.166,1,0.0379,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
754,69WiLaNQxDcf4yjAWcDruZ,2023-08-11T07:27:37Z,Drunk & Loud,5v9ShaPCZn1arjR9BmkUNy,4ae1CMoZOjwIOUmhJlA9Tt,[],0.11055002692381996,0,0.05,8,0.49485820920390544,0.853,0.54,0.516,0.788565330080805,0.000487,0.0097,0.267,1,0.036,4,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
